碳排放_carbon_emission_kg (kgCO2/KM/d),人口密度 (千人/km²),办公POI数量 (个),居住POI数量 (个),道路密度 (KM/KM²),地铁站点数量 (个),公交站点数量 (个),标准化土地混合熵,到市中心距离 (km),到最近公交距离 (km)
-0.56117683124671,-0.58790088695595,-0.486960091309407,-0.334220927486322,-0.777545885516795,-0.246380605088077,-0.521832175846149,0.57679392618351,0.6298270437486501,-0.455055039537742
-0.513869638689827,-0.58790088695595,-0.107876390334557,0.4256212834841567,-0.52681306182223,-0.246380605088077,-0.521832175846149,0.6628236864613533,0.6733775498421546,-0.365361979847131
-0.549412724428733,-0.58790088695595,-0.373234981016952,-0.299682645169482,0.049287357814676,-0.246380605088077,-0.521832175846149,1.1157707251842917,0.7002959871576027,-0.508988444757657
-0.561585783223227,-0.58790088695595,-0.373234981016952,-0.368759209803162,-1.16868547481439,-0.246380605088077,-0.521832175846149,0.2764599209518937,0.50960135056911,-0.570977140974927
-0.570388134299542,-0.634319577956829,-0.449051721211922,-0.368759209803162,-1.21270119082023,-0.246380605088077,-0.521832175846149,-0.629331081225301,0.5266739008429885,-0.324994639350586
-0.511556927725195,-0.634319577956829,-0.486960091309407,-0.334220927486322,-0.953077940688706,-0.246380605088077,-0.521832175846149,-0.629331081225301,0.5474169814111968,-0.154005181843846
-0.425572754975864,-0.634319577956829,0.9156496022975388,-0.368759209803162,-0.482593122051743,-0.246380605088077,-0.521832175846149,-0.671484381166421,0.5717528990883236,-0.164963636004788
-0.569427540782704,-0.634319577956829,-0.335326610919467,-0.368759209803162,-0.835019369031267,-0.246380605088077,-0.521832175846149,0.1434978310273611,0.5995932674468565,-0.250394993419445
-0.556796047296622,-0.627688336956703,-0.449051721211922,-0.368759209803162,-1.25653779417716,-0.246380605088077,-0.521832175846149,0.4433579181991767,0.6308404889034697,-0.212589954266471
-0.570388134299542,-0.627688336956703,-0.221601500627012,-0.230606080535802,-0.972574344676902,-0.246380605088077,-0.521832175846149,0.3810721947612249,0.6653892850202882,-0.0712983210899106
-0.570388134299542,-0.627688336956703,0.8777412322000538,-0.126991233585282,-0.500436182014517,-0.246380605088077,-0.521832175846149,0.119544252437309,0.7031282372876628,0.1128042244563651
-0.570388134299542,-0.627688336956703,0.0437570900553827,-0.334220927486322,0.1609080605434903,-0.246380605088077,-0.521832175846149,0.1570715484002903,0.7439412901734932,0.3214237126119048
-0.570388134299542,-0.627688336956703,-0.411143351114437,-0.368759209803162,0.5909103534309438,-0.246380605088077,-0.521832175846149,0.1624641047592341,0.787709176609332,0.5489696055231451
-0.570388134299542,-0.627688336956703,-0.373234981016952,-0.368759209803162,0.1873847021005001,-0.246380605088077,-0.521832175846149,0.1304053421507174,0.8343107449502466,0.393498673593247
-0.464956894738983,-0.627688336956703,-0.107876390334557,-0.299682645169482,0.2318664006391817,-0.246380605088077,-0.521832175846149,0.5297250900072242,0.5000925826065185,0.3813511064431926
-0.537406495009475,-0.627688336956703,-0.107876390334557,-0.299682645169482,-1.15442406376523,-0.246380605088077,-0.521832175846149,0.8656990414199757,0.4711622246818525,0.3926901795755531
-0.570388134299542,-0.627688336956703,-0.221601500627012,-0.368759209803162,-0.586104837859759,-0.246380605088077,-0.521832175846149,-0.227830871541805,0.3821913499613521,-0.465577311195737
-0.488087421198602,-0.627688336956703,-0.0699680202370724,-0.265144362852642,-0.704785336287351,-0.246380605088077,0.097290744649282,0.38239267456623,0.3921007990091506,-0.640367061925555
-0.534702657216798,-0.627688336956703,0.3091156807377781,-0.334220927486322,-0.953660814342994,-0.246380605088077,-0.521832175846149,0.5668870338637552,0.4059380073191991,-0.490559842979833
-0.497299614296141,-0.627688336956703,0.0437570900553827,-0.265144362852642,-0.870205739423136,-0.246380605088077,-0.521832175846149,0.795578010386634,0.42364456979089,-0.409894659780764
-0.284968003851874,-0.634319577956829,-0.297418240821982,-0.299682645169482,0.0405652650751971,-0.246380605088077,-0.521832175846149,0.3976839453619822,0.4451474260686577,-0.414430018930305
-0.355941783618327,-0.634319577956829,2.1287174454170605,0.4256212834841567,-0.300579558765641,3.881805065270669,-0.521832175846149,0.6262538502450223,0.4703603027985118,-0.306182164085288
-0.308760870278646,-0.634319577956829,-0.145784760432042,-0.368759209803162,-0.876557151830036,-0.246380605088077,-0.521832175846149,0.3185950799474459,0.4991853298777246,-0.106249541647192
-0.369994936266924,-0.634319577956829,-0.221601500627012,-0.368759209803162,-1.12477505028103,-0.246380605088077,-0.521832175846149,0.0354335383093035,0.531514784579009,0.0356857357113587
-0.486496449883887,-0.581269645955825,-0.297418240821982,-0.368759209803162,-0.885059509147374,-0.246380605088077,-0.521832175846149,-0.157488497086334,0.5672328755044541,0.1391430051184688
-0.458706804111688,-0.581269645955825,0.0816654601528678,-0.265144362852642,-0.265629983064417,-0.246380605088077,-0.521832175846149,0.6251541229928183,0.6062175265394619,0.2980025123006979
-0.570388134299542,-0.581269645955825,0.233298940542808,-0.334220927486322,-0.166777692643084,-0.246380605088077,-0.521832175846149,0.5061009807835771,0.6483420874360745,0.4819836947638544
-0.570388134299542,-0.581269645955825,-0.411143351114437,-0.368759209803162,-0.61787983324836,-0.246380605088077,-0.521832175846149,-0.629331081225301,0.6934769521589665,0.6525381708079389
-0.570388134299542,-0.581269645955825,-0.486960091309407,-0.368759209803162,0.5925045275136098,-0.246380605088077,-0.521832175846149,-1.98291389408972,0.7414910451643413,0.3924768726247007
-0.570388134299542,-0.581269645955825,-0.486960091309407,-0.368759209803162,-0.173908573493749,-0.246380605088077,-0.521832175846149,-1.98291389408972,0.7922531378782754,0.1331449309840512
-0.570388134299542,-0.581269645955825,-0.486960091309407,-0.368759209803162,-0.845536951990932,-0.246380605088077,-0.521832175846149,-0.81460872582016,0.845633016337545,-0.124576682697986
-0.570388134299542,-0.581269645955825,-0.297418240821982,-0.368759209803162,-0.791637515818821,-0.246380605088077,-0.521832175846149,0.2022165800428869,0.9015024685483845,-0.377495766392589
-0.570388134299542,-0.581269645955825,-0.449051721211922,-0.368759209803162,-0.388024895516224,-0.246380605088077,0.097290744649282,-0.629331081225301,0.9597361062373015,-0.602139891082164
-0.570388134299542,-0.581269645955825,-0.449051721211922,-0.368759209803162,0.3014452507007276,-0.246380605088077,0.7164136651447135,-0.739924436102739,1.0202120356680675,-0.685665751036499
-0.570388134299542,-0.581269645955825,-0.411143351114437,-0.334220927486322,-1.22149417632169,-0.246380605088077,-0.521832175846149,0.0771418193580673,0.6013786573507182,0.6257767786664762
-0.514475818249904,-0.581269645955825,-0.259509870724497,-0.334220927486322,-0.0966766151451306,-0.246380605088077,-0.521832175846149,0.389462746665117,0.4336341311578744,0.1808369730136694
-0.470367793299559,-0.61273553695642,-0.107876390334557,-0.299682645169482,1.517635175495447,-0.246380605088077,-0.521832175846149,0.8769150455959975,0.4000443161450913,0.120856418254082
-0.259947195354276,-0.61273553695642,-0.486960091309407,-0.334220927486322,-0.796903349005094,-0.246380605088077,-0.521832175846149,-1.1030547167305,0.3700570881469346,0.1354667300197119
-0.313188716717423,-0.61273553695642,0.5744742714201735,-0.299682645169482,0.7131492720076609,-0.246380605088077,-0.521832175846149,0.2579188405606371,0.3437919553067078,0.2126221175656618
-0.460002655002988,-0.61273553695642,0.0058487199578977,-0.299682645169482,-0.681737107304005,-0.246380605088077,-0.521832175846149,0.8791927745718817,0.3213579736004686,0.2906952268971404
-0.370322124812643,-0.665785469957425,-0.0699680202370724,0.149315024949437,0.4449728926150884,8.009990735629414,-0.521832175846149,-0.360012300508843,0.3028516777858712,0.313317140643574
-0.30627977609197,-0.665785469957425,0.0816654601528678,0.2529298718999569,-1.03016655998225,-0.246380605088077,-0.521832175846149,0.5351300263357783,0.2883551590922261,0.1819704571405156
-0.554180665847064,-0.665785469957425,-0.335326610919467,-0.299682645169482,-0.545151797967286,-0.246380605088077,-0.521832175846149,0.197320639926157,0.2779343190000188,0.1106841306777419
-0.51460265570896,-0.665785469957425,-0.297418240821982,-0.265144362852642,0.2424739651259002,-0.246380605088077,-0.521832175846149,-0.117146013634352,0.2776884897283445,-0.463293938132357
-0.357919050538707,-0.640950819956954,-0.183693130529527,-0.265144362852642,0.1965274630663603,-0.246380605088077,-0.521832175846149,0.5246823722919247,0.2879878532486394,-0.635072491654
-0.359770013889381,-0.640950819956954,0.233298940542808,-0.126991233585282,0.1452304489365874,-0.246380605088077,0.097290744649282,0.2061216385808173,0.3023645849906692,-0.671093531272415
-0.081577142802823,-0.640950819956954,-0.221601500627012,-0.0233763866347627,0.4416045599654177,-0.246380605088077,-0.521832175846149,0.4361682704913054,0.3207532844903888,-0.584383345040409
0.1435202588973345,-0.640950819956954,-0.297418240821982,-0.265144362852642,1.4623654466091167,-0.246380605088077,0.097290744649282,0.3392294437962963,0.3430723175125625,-0.670008470288733
-0.0887943154160855,-0.627688336956703,-0.297418240821982,-0.265144362852642,-0.724709082947763,-0.246380605088077,-0.521832175846149,0.2664690088993158,0.3692255475971248,-0.455544610319957
-0.316531163650398,-0.627688336956703,-0.183693130529527,-0.230606080535802,-0.963412029159869,-0.246380605088077,-0.521832175846149,0.708374749049361,0.3991042625617259,-0.200423846252912
-0.450581916987073,-0.627688336956703,-0.183693130529527,-0.368759209803162,-0.408443752332909,-0.246380605088077,-0.521832175846149,0.5360550574136201,0.4325892309750721,0.0585758838801056
-0.434196096890376,-0.627688336956703,0.3091156807377781,-0.196067798218962,-0.25309958697082,-0.246380605088077,-0.521832175846149,0.9994041180964393,0.4695527942674153,0.3186874313313027
-0.393264796751095,-0.627688336956703,-0.107876390334557,-0.265144362852642,0.2717486345095075,-0.246380605088077,-0.521832175846149,0.9896996550944436,0.5098609190112875,0.5010439345019227
-0.566453101118383,-0.627688336956703,-0.335326610919467,-0.334220927486322,0.4300629357685453,-0.246380605088077,-0.521832175846149,0.7113048637657634,0.5533751716390184,0.6674399747386863
-0.56123528196742,-0.627688336956703,-0.486960091309407,-0.368759209803162,-0.396444066565278,-0.246380605088077,-0.521832175846149,-0.629331081225301,0.5999545422264304,0.6989795980141358
-0.570388134299542,-0.627688336956703,-0.411143351114437,-0.368759209803162,0.0040527951261785,-0.246380605088077,-0.521832175846149,0.0771418193580673,0.6494570921870738,0.4488749782011706
-0.570388134299542,-0.627688336956703,-0.486960091309407,-0.368759209803162,0.5152404080118183,-0.246380605088077,-0.521832175846149,-1.98291389408972,0.7017414132991825,0.2046800170373995
-0.570388134299542,-0.627688336956703,-0.486960091309407,-0.368759209803162,-0.892779018473321,-0.246380605088077,-0.521832175846149,-1.98291389408972,0.7566678729097137,-0.0301698811516942
-0.570388134299542,-0.627688336956703,-0.486960091309407,-0.368759209803162,-1.09495956996724,-0.246380605088077,-0.521832175846149,-1.98291389408972,0.8140996599895954,-0.282387108885975
-0.570388134299542,-0.627688336956703,-0.486960091309407,-0.368759209803162,-1.16569702439987,-0.246380605088077,-0.521832175846149,-1.98291389408972,0.8739036299438728,-0.515447174812202
