休闲POI,办公POI,公共服务POI,交通设施POI,居住POI,grid_id,总POI数量
0,0,1,0,0,2194.0,1
23,8,9,3,0,2195.0,43
0,1,1,2,1,2198.0,5
0,0,0,1,0,2199.0,1
3,5,0,2,0,2200.0,10
4,7,1,0,0,2201.0,12
28,6,17,5,2,2202.0,58
20,4,6,0,1,2203.0,31
2,3,0,0,0,2204.0,5
0,3,0,0,0,2205.0,3
0,0,1,1,0,2206.0,2
0,3,0,1,0,2207.0,4
0,2,0,0,0,2210.0,2
1,0,0,0,0,2212.0,1
2,1,4,2,2,2213.0,11
13,10,13,8,3,2214.0,47
93,20,55,25,11,2215.0,204
38,6,30,12,2,2216.0,88
23,4,16,20,6,2217.0,69
22,7,25,29,12,2218.0,95
86,28,61,42,14,2219.0,231
113,18,51,33,11,2220.0,226
74,10,63,39,70,2221.0,256
7,7,37,10,3,2222.0,64
57,9,45,5,5,2223.0,121
4,0,7,1,1,2224.0,13
29,8,40,17,13,2225.0,107
12,5,6,2,2,2226.0,27
16,27,11,11,2,2227.0,67
1,1,1,5,0,2228.0,8
1,0,2,1,0,2229.0,4
5,0,2,0,0,2230.0,7
1,0,1,5,2,2231.0,9
0,0,2,5,2,2232.0,9
16,8,15,12,3,2233.0,54
5,7,5,9,6,2234.0,32
1,1,3,8,3,2235.0,16
11,6,5,2,3,2236.0,27
13,1,4,0,1,2237.0,19
0,1,1,1,0,2238.0,3
264,126,33,10,0,2239.0,433
161,88,21,12,2,2240.0,284
0,1,1,8,0,2241.0,10
1,3,5,1,3,2242.0,13
0,3,3,3,5,2243.0,14
54,10,31,1,12,2244.0,108
8,3,4,5,2,2245.0,22
16,0,8,6,4,2246.0,34
4,1,7,6,0,2247.0,18
36,1,16,8,1,2248.0,62
0,2,0,0,0,2249.0,2
11,2,5,5,1,2250.0,24
3,2,6,1,1,2251.0,13
24,3,16,1,4,2252.0,48
1,7,3,0,0,2253.0,11
0,1,1,0,0,2254.0,2
0,3,0,0,0,2255.0,3
1,2,0,5,0,2257.0,8
1,0,0,0,0,2259.0,1
0,0,1,0,0,2260.0,1
1,6,1,0,0,2262.0,8
0,2,2,1,0,2263.0,5
