休闲POI,办公POI,公共服务POI,交通设施POI,居住POI,grid_id,总POI数量
2,1,2,0,0,2375.0,5
2,0,0,0,0,2377.0,2
0,0,2,3,0,2378.0,5
0,0,1,0,0,2382.0,1
0,0,0,1,0,2383.0,1
4,4,1,0,0,2385.0,9
7,4,0,0,0,2386.0,11
5,6,0,0,0,2387.0,11
4,1,0,1,0,2388.0,6
4,2,0,0,0,2389.0,6
2,2,0,5,0,2390.0,9
122,2,44,10,32,2391.0,210
72,1,12,8,1,2392.0,94
0,0,0,2,0,2393.0,2
0,0,0,1,1,2394.0,2
0,2,0,0,0,2395.0,2
0,0,0,1,1,2397.0,2
3,1,1,0,0,2398.0,5
17,2,9,16,1,2399.0,45
38,11,24,13,4,2400.0,90
98,9,100,36,8,2401.0,251
36,4,27,12,3,2402.0,82
32,9,26,10,8,2403.0,85
96,11,48,27,4,2404.0,186
96,13,52,25,8,2405.0,194
41,11,15,29,4,2406.0,100
1,3,5,18,2,2407.0,29
7,6,6,5,2,2408.0,26
117,8,53,17,9,2409.0,204
4,7,9,4,4,2410.0,28
108,20,43,19,7,2411.0,197
20,5,14,2,1,2412.0,42
9,1,3,1,0,2413.0,14
4,2,3,0,0,2414.0,9
16,5,4,1,1,2415.0,27
3,0,0,0,0,2417.0,3
0,1,9,0,0,2418.0,10
0,8,2,7,1,2419.0,18
9,1,13,1,1,2420.0,25
15,8,13,6,4,2421.0,46
13,35,11,25,21,2422.0,105
8,34,11,8,3,2423.0,64
14,34,12,21,4,2424.0,85
4,1,3,5,0,2425.0,13
12,0,2,1,3,2426.0,18
0,0,1,1,0,2427.0,2
13,2,6,6,2,2428.0,29
0,3,4,0,0,2429.0,7
0,1,1,0,0,2430.0,2
0,3,1,2,0,2431.0,6
0,1,1,1,0,2432.0,3
0,6,2,2,0,2434.0,10
5,2,0,1,0,2435.0,8
0,1,0,0,0,2438.0,1
2,0,0,0,0,2439.0,2
2,1,0,0,0,2440.0,3
1,1,0,0,0,2442.0,2
1,1,1,0,0,2444.0,3
6,7,4,0,3,2445.0,20
15,5,10,3,15,2446.0,48
92,2,49,5,69,2447.0,217
70,0,16,2,27,2448.0,115
2,0,0,0,1,2450.0,3
0,1,0,0,0,2451.0,1
2,1,0,0,0,2452.0,3
0,2,1,1,0,2453.0,4
1,1,0,0,1,2454.0,3
1,0,1,0,0,2455.0,2
1,4,0,0,0,2456.0,5
21,26,17,17,1,2457.0,82
3,5,8,14,3,2458.0,33
4,0,2,3,1,2459.0,10
24,7,22,17,7,2460.0,77
64,8,44,23,7,2461.0,146
22,2,32,7,2,2462.0,65
0,0,2,0,1,2463.0,3
30,6,25,10,6,2464.0,77
77,31,51,14,9,2465.0,182
11,4,4,1,0,2466.0,20
0,4,1,4,4,2467.0,13
9,4,6,2,0,2468.0,21
4,2,7,2,0,2469.0,15
4,5,1,2,0,2470.0,12
3,1,3,3,0,2471.0,10
0,2,5,3,0,2472.0,10
1,0,0,0,0,2473.0,1
0,2,35,0,0,2474.0,37
4,7,12,5,0,2475.0,28
0,1,1,0,0,2476.0,2
2,0,0,8,3,2477.0,13
17,2,6,1,3,2478.0,29
8,5,3,2,2,2479.0,20
4,3,4,6,1,2480.0,18
0,1,0,0,0,2481.0,1
1,2,3,2,3,2482.0,11
0,1,0,3,0,2483.0,4
6,21,5,19,5,2484.0,56
7,5,10,10,1,2485.0,33
1,0,5,4,0,2486.0,10
0,2,1,0,0,2487.0,3
0,0,0,3,1,2488.0,4
0,0,1,1,0,2489.0,2
6,1,3,1,0,2491.0,11
4,1,1,0,1,2496.0,7
0,1,0,0,0,2497.0,1
1,0,0,0,0,2498.0,1
5,0,1,0,2,2500.0,8
1,0,0,0,0,2501.0,1
7,0,3,3,5,2502.0,18
67,8,31,3,40,2503.0,149
13,9,7,0,4,2504.0,33
0,2,2,0,0,2505.0,4
1,0,0,0,0,2506.0,1
1,1,0,1,0,2508.0,3
0,0,1,1,0,2509.0,2
0,0,0,1,1,2511.0,2
0,4,2,0,0,2512.0,6
8,14,10,1,0,2513.0,33
0,0,2,0,0,2514.0,2
2,3,3,6,2,2515.0,16
0,2,1,2,2,2516.0,7
7,0,9,15,4,2517.0,35
0,2,2,7,0,2518.0,11
0,0,0,1,0,2519.0,1
0,1,0,3,3,2520.0,7
0,0,1,0,1,2521.0,2
8,9,7,3,0,2522.0,27
1,1,1,1,1,2523.0,5
3,0,0,1,1,2524.0,5
0,2,1,2,0,2525.0,5
0,3,0,2,0,2528.0,5
4,4,0,3,0,2529.0,11
10,6,6,2,1,2530.0,25
15,3,11,2,2,2531.0,33
2,0,3,4,2,2532.0,11
0,3,5,5,0,2533.0,13
2,0,1,1,1,2534.0,5
18,3,4,1,0,2535.0,26
9,1,5,4,1,2536.0,20
3,3,4,4,0,2537.0,14
0,3,0,2,1,2538.0,6
0,2,2,0,0,2540.0,4
0,4,4,2,0,2541.0,10
1,2,1,2,0,2542.0,6
0,1,1,1,0,2543.0,3
0,3,2,4,0,2544.0,9
2,3,2,1,0,2545.0,8
6,1,4,2,2,2546.0,15
2,1,6,1,0,2547.0,10
17,1,13,3,0,2548.0,34
2,2,4,1,0,2549.0,9
1,0,0,0,0,2550.0,1
4,0,0,0,1,2553.0,5
2,1,0,0,0,2554.0,3
6,0,1,0,0,2556.0,7
3,0,0,1,1,2557.0,5
1,1,0,5,0,2558.0,7
0,1,0,8,0,2559.0,9
2,0,4,3,2,2560.0,11
0,8,2,0,0,2561.0,10
1,5,0,0,0,2562.0,6
0,2,0,1,0,2563.0,3
0,1,0,2,0,2564.0,3
2,0,0,0,0,2565.0,2
1,3,0,0,1,2566.0,5
1,0,0,0,0,2567.0,1
15,1,11,2,0,2569.0,29
15,12,6,2,1,2570.0,36
2,4,4,6,0,2571.0,16
0,1,0,3,0,2572.0,4
3,3,1,10,0,2573.0,17
0,0,0,2,0,2574.0,2
0,2,0,2,0,2575.0,4
0,2,0,1,0,2576.0,3
3,2,0,8,2,2577.0,15
0,2,2,0,0,2578.0,4
2,1,1,1,0,2579.0,5
2,5,4,4,2,2580.0,17
0,1,0,1,0,2582.0,2
0,3,0,1,0,2583.0,4
5,13,0,3,1,2584.0,22
11,7,3,0,0,2585.0,21
1,6,1,1,0,2586.0,9
1,0,0,0,0,2587.0,1
4,1,2,3,0,2588.0,10
6,4,0,1,0,2589.0,11
0,2,0,2,0,2590.0,4
29,19,5,1,0,2591.0,54
53,25,28,1,0,2592.0,107
0,1,2,1,1,2593.0,5
2,2,6,5,2,2594.0,17
3,3,1,3,0,2595.0,10
0,2,1,3,0,2596.0,6
1,2,0,1,2,2597.0,6
1,18,1,1,1,2598.0,22
0,5,2,1,0,2599.0,8
0,0,1,4,0,2600.0,5
0,1,0,0,0,2601.0,1
3,4,3,0,0,2603.0,10
3,0,1,0,0,2606.0,4
0,0,0,1,0,2607.0,1
9,3,7,1,0,2610.0,20
20,5,7,1,0,2611.0,33
12,4,4,10,5,2612.0,35
2,0,0,2,0,2613.0,4
2,1,0,0,0,2614.0,3
1,0,2,0,1,2615.0,4
6,8,3,3,0,2617.0,20
4,13,0,0,0,2618.0,17
0,1,1,0,0,2619.0,2
1,2,0,0,0,2621.0,3
28,6,10,1,1,2624.0,46
2,5,0,4,0,2625.0,11
3,2,0,4,1,2626.0,10
11,0,10,13,1,2627.0,35
2,0,2,0,0,2628.0,4
0,1,1,1,0,2629.0,3
1,3,0,1,0,2632.0,5
1,0,0,0,0,2633.0,1
3,9,4,3,0,2635.0,19
3,3,1,1,1,2636.0,9
0,5,0,0,0,2637.0,5
1,6,0,2,0,2638.0,9
4,7,3,2,0,2639.0,16
1,4,2,1,0,2640.0,8
0,1,0,0,0,2641.0,1
1,6,3,3,1,2643.0,14
7,3,1,0,0,2644.0,11
0,3,1,0,1,2645.0,5
13,8,17,0,1,2646.0,39
53,22,126,7,2,2647.0,210
28,2,7,1,1,2648.0,39
0,2,4,3,1,2649.0,10
1,0,0,0,0,2651.0,1
1,0,0,0,0,2652.0,1
2,17,1,6,3,2653.0,29
1,5,0,1,0,2654.0,7
0,1,2,0,0,2655.0,3
0,3,0,0,0,2657.0,3
4,1,0,1,0,2658.0,6
0,1,3,0,0,2659.0,4
1,0,0,0,0,2660.0,1
4,2,1,4,0,2661.0,11
1,0,0,0,0,2662.0,1
4,3,1,0,0,2663.0,8
3,1,5,1,0,2664.0,10
8,1,2,0,0,2665.0,11
26,2,5,6,14,2666.0,53
3,0,0,2,1,2667.0,6
2,1,0,0,0,2668.0,3
1,0,0,0,0,2671.0,1
2,0,0,0,0,2672.0,2
8,2,5,3,1,2678.0,19
3,7,3,0,0,2679.0,13
1,1,0,0,0,2680.0,2
5,1,1,1,0,2681.0,8
6,3,13,9,3,2682.0,34
0,3,0,0,0,2683.0,3
4,13,1,2,1,2689.0,21
20,17,19,6,2,2690.0,64
1,1,0,0,0,2691.0,2
6,3,3,0,0,2692.0,12
36,16,20,7,1,2693.0,80
11,17,11,4,1,2694.0,44
10,6,6,1,1,2695.0,24
13,6,6,0,1,2696.0,26
10,6,7,1,1,2697.0,25
32,14,23,7,1,2698.0,77
19,9,1,1,1,2699.0,31
2,2,2,1,0,2700.0,7
3,3,0,0,0,2701.0,6
15,3,11,2,0,2702.0,31
0,7,0,0,0,2703.0,7
7,1,0,0,0,2705.0,8
5,2,2,2,0,2706.0,11
1,5,1,0,1,2707.0,8
4,0,0,0,0,2710.0,4
0,1,1,0,0,2711.0,2
1,3,0,2,0,2712.0,6
0,5,3,0,0,2713.0,8
2,2,2,0,0,2716.0,6
2,4,0,1,0,2717.0,7
0,3,0,0,0,2718.0,3
5,5,2,2,0,2719.0,14
40,4,17,2,0,2720.0,63
17,1,11,8,0,2721.0,37
6,4,8,8,1,2722.0,27
8,1,1,0,0,2723.0,10
7,3,1,0,1,2724.0,12
1,0,0,0,0,2726.0,1
1,0,0,0,0,2728.0,1
6,1,0,0,0,2729.0,7
0,1,0,0,0,2731.0,1
9,4,4,3,0,2732.0,20
7,1,0,0,0,2733.0,8
0,1,0,0,0,2734.0,1
8,2,3,7,0,2735.0,20
0,8,0,10,0,2736.0,18
7,9,25,3,0,2737.0,44
7,9,5,0,2,2738.0,23
4,1,0,1,0,2739.0,6
1,0,0,0,0,2743.0,1
0,4,2,0,0,2744.0,6
144,35,20,9,3,2745.0,211
18,17,23,8,2,2746.0,68
0,6,4,0,0,2747.0,10
1,0,1,0,0,2748.0,2
0,3,0,0,0,2749.0,3
3,1,1,1,0,2750.0,6
3,2,0,0,0,2751.0,5
0,2,0,2,0,2752.0,4
14,10,6,1,1,2753.0,32
13,15,6,2,0,2754.0,36
13,2,15,2,0,2755.0,32
10,5,0,2,0,2756.0,17
0,1,2,4,0,2757.0,7
107,36,5,3,2,2758.0,153
26,4,4,0,0,2759.0,34
0,2,0,1,0,2760.0,3
0,1,0,0,0,2761.0,1
5,4,2,1,1,2762.0,13
16,9,8,0,0,2763.0,33
8,7,8,2,0,2764.0,25
0,3,0,0,0,2766.0,3
1,0,0,0,0,2767.0,1
2,2,0,0,0,2768.0,4
1,4,0,0,0,2769.0,5
1,0,1,0,0,2770.0,2
81,8,24,1,1,2771.0,115
41,6,14,1,0,2772.0,62
3,3,3,4,1,2773.0,14
5,0,3,0,0,2774.0,8
3,0,0,0,1,2775.0,4
4,0,0,0,0,2776.0,4
6,0,0,0,0,2777.0,6
0,0,0,1,0,2778.0,1
2,0,0,0,0,2779.0,2
2,2,0,2,0,2780.0,6
4,0,0,0,0,2782.0,4
0,0,0,0,2,2783.0,2
1,2,0,3,0,2784.0,6
0,0,0,2,0,2785.0,2
0,0,5,3,3,2786.0,11
44,9,22,14,4,2787.0,93
1,18,4,15,4,2788.0,42
4,9,4,2,1,2789.0,20
29,5,22,9,4,2790.0,69
12,7,12,3,2,2791.0,36
4,6,3,1,0,2792.0,14
1,4,0,0,0,2793.0,5
10,3,4,1,0,2795.0,18
15,12,23,2,0,2796.0,52
11,27,10,10,0,2797.0,58
30,25,8,8,1,2798.0,72
0,4,2,6,1,2799.0,13
1,1,1,0,0,2801.0,3
11,2,8,2,2,2803.0,25
24,13,2,3,2,2804.0,44
96,34,6,2,1,2805.0,139
8,1,7,1,1,2806.0,18
8,8,4,3,0,2807.0,23
21,10,12,5,2,2808.0,50
45,16,25,10,4,2809.0,100
20,5,7,1,0,2810.0,33
1,0,2,0,0,2811.0,3
2,0,0,0,1,2813.0,3
2,4,1,0,1,2814.0,8
3,0,0,0,0,2815.0,3
2,3,0,6,1,2816.0,12
7,5,5,1,0,2817.0,18
63,3,14,1,0,2818.0,81
0,1,0,0,0,2819.0,1
2,0,0,0,0,2820.0,2
3,2,1,1,0,2821.0,7
4,0,0,0,0,2822.0,4
5,1,0,0,0,2823.0,6
2,0,1,2,0,2824.0,5
2,1,0,0,0,2825.0,3
4,0,0,0,0,2826.0,4
0,0,1,0,0,2828.0,1
0,0,0,6,0,2829.0,6
1,2,1,1,0,2830.0,5
1,1,5,1,0,2831.0,8
29,1,16,10,1,2832.0,57
6,1,5,9,2,2833.0,23
2,10,1,7,0,2834.0,20
11,3,13,0,0,2835.0,27
66,15,26,2,6,2836.0,115
107,9,34,12,4,2837.0,166
127,8,45,18,14,2838.0,212
74,17,26,7,13,2839.0,137
110,13,54,23,12,2840.0,212
90,26,37,17,11,2841.0,181
119,14,62,13,11,2842.0,219
6,17,1,11,1,2843.0,36
0,1,0,0,0,2844.0,1
66,10,8,1,0,2845.0,85
58,18,6,10,0,2846.0,92
62,31,127,6,12,2848.0,238
72,46,54,1,6,2849.0,179
0,4,1,0,0,2850.0,5
1,1,0,0,0,2851.0,2
2,1,2,0,0,2852.0,5
1,0,0,0,0,2853.0,1
1,0,0,0,1,2856.0,2
1,4,0,0,0,2857.0,5
4,0,1,0,0,2858.0,5
3,2,0,0,1,2859.0,6
8,3,1,1,1,2860.0,14
3,0,0,1,0,2861.0,4
1,1,0,0,0,2862.0,2
0,0,1,0,0,2863.0,1
5,1,0,0,0,2865.0,6
5,0,0,2,3,2866.0,10
1,0,0,0,0,2868.0,1
1,2,0,0,0,2871.0,3
0,2,3,0,0,2872.0,5
2,3,0,1,0,2873.0,6
2,4,3,4,1,2874.0,14
32,18,17,21,4,2875.0,92
0,11,0,2,0,2876.0,13
2,1,2,3,2,2877.0,10
8,5,2,5,4,2878.0,24
1,3,0,3,0,2879.0,7
0,1,0,0,0,2881.0,1
1,1,0,5,0,2882.0,7
33,2,26,13,4,2883.0,78
0,2,0,1,2,2884.0,5
24,10,17,14,6,2885.0,71
0,2,0,1,1,2886.0,4
0,8,0,2,1,2888.0,11
12,6,5,1,0,2889.0,24
4,0,2,1,0,2890.0,7
4,0,0,0,0,2891.0,4
2,3,2,0,0,2892.0,7
1,0,0,0,0,2893.0,1
2,2,2,0,0,2895.0,6
0,1,0,0,0,2896.0,1
4,3,0,0,0,2897.0,7
0,0,0,0,5,2899.0,5
0,1,0,0,0,2900.0,1
0,3,2,0,0,2901.0,5
12,1,2,0,0,2902.0,15
1,1,1,0,0,2903.0,3
2,0,0,0,0,2904.0,2
1,0,0,0,0,2906.0,1
6,6,0,4,1,2907.0,17
0,0,1,1,0,2911.0,2
2,3,0,0,0,2912.0,5
1,5,4,1,0,2913.0,11
2,0,4,1,0,2914.0,7
0,1,1,1,0,2915.0,3
0,4,1,5,0,2916.0,10
4,2,11,6,2,2917.0,25
0,1,0,0,0,2918.0,1
0,3,0,8,1,2919.0,12
0,1,0,0,0,2920.0,1
2,4,0,1,0,2921.0,7
0,5,1,8,0,2924.0,14
20,4,6,10,4,2925.0,44
6,0,3,4,4,2927.0,17
11,5,6,6,5,2928.0,33
3,0,1,3,0,2929.0,7
1,1,1,0,1,2930.0,4
0,4,1,1,0,2931.0,6
21,32,13,6,3,2932.0,75
0,1,0,0,0,2934.0,1
1,1,0,0,0,2935.0,2
1,0,1,0,0,2936.0,2
4,2,1,0,0,2938.0,7
0,1,0,0,0,2939.0,1
3,0,2,0,0,2941.0,5
1,0,0,0,0,2942.0,1
4,1,0,0,0,2944.0,5
1,0,0,0,1,2945.0,2
0,0,0,1,1,2946.0,2
0,0,1,0,0,2948.0,1
1,0,2,0,1,2949.0,4
0,1,0,0,0,2950.0,1
0,3,0,3,0,2951.0,6
0,3,2,1,0,2955.0,6
2,0,0,1,0,2956.0,3
2,3,0,2,1,2957.0,8
0,6,0,1,0,2958.0,7
0,3,0,0,0,2961.0,3
2,1,0,0,0,2962.0,3
0,3,0,1,0,2963.0,4
1,6,0,2,0,2964.0,9
28,5,14,1,5,2965.0,53
2,1,0,0,1,2966.0,4
4,3,2,0,0,2967.0,9
0,1,0,0,0,2968.0,1
2,2,6,2,2,2969.0,14
0,9,1,0,0,2970.0,10
1,1,1,6,0,2971.0,9
1,1,2,0,0,2972.0,4
0,1,0,0,0,2973.0,1
3,0,0,0,1,2976.0,4
2,0,0,0,0,2977.0,2
1,0,0,0,0,2978.0,1
1,1,0,0,1,2979.0,3
0,1,0,1,0,2980.0,2
1,0,0,0,0,2983.0,1
0,1,0,0,0,2985.0,1
2,0,0,0,0,2987.0,2
20,3,13,3,0,2988.0,39
2,1,0,0,0,2990.0,3
1,1,1,1,0,2991.0,4
1,0,2,0,0,2992.0,3
2,1,0,0,0,2993.0,3
0,3,0,0,0,2994.0,3
2,3,0,1,0,2997.0,6
1,1,0,0,0,2998.0,2
5,1,1,0,1,2999.0,8
0,0,1,0,0,3000.0,1
0,1,0,0,0,3001.0,1
0,3,2,2,1,3002.0,8
1,0,0,0,0,3003.0,1
0,2,0,0,0,3004.0,2
1,1,0,3,0,3005.0,5
0,1,0,0,0,3006.0,1
0,1,0,0,0,3007.0,1
2,1,0,0,0,3008.0,3
18,7,8,1,1,3009.0,35
1,0,0,1,0,3010.0,2
1,0,0,0,0,3011.0,1
1,0,0,0,0,3012.0,1
0,1,1,0,0,3014.0,2
2,1,0,0,0,3015.0,3
0,0,0,1,0,3016.0,1
2,0,0,1,0,3017.0,3
1,2,1,0,0,3018.0,4
1,0,0,0,0,3020.0,1
2,4,0,0,0,3021.0,6
2,8,2,1,0,3022.0,13
0,2,0,0,0,3024.0,2
1,0,0,0,0,3025.0,1
1,1,0,0,0,3026.0,2
0,0,1,0,0,3027.0,1
2,1,1,0,0,3030.0,4
1,0,0,0,0,3031.0,1
0,1,0,0,0,3032.0,1
0,1,0,0,0,3034.0,1
0,2,0,0,0,3036.0,2
2,1,1,0,0,3037.0,4
12,0,3,0,0,3038.0,15
1,2,1,0,0,3039.0,4
1,0,0,0,0,3040.0,1
3,0,0,0,0,3041.0,3
1,4,0,0,0,3042.0,5
0,1,3,2,1,3044.0,7
0,0,1,0,0,3046.0,1
0,1,0,0,0,3050.0,1
1,0,0,0,0,3051.0,1
0,2,0,0,0,3053.0,2
1,1,0,0,0,3054.0,2
0,0,1,0,0,3055.0,1
0,1,0,0,0,3056.0,1
0,1,0,0,0,3057.0,1
1,1,0,0,0,3058.0,2
1,1,0,0,0,3060.0,2
1,0,0,0,0,3061.0,1
4,3,1,0,0,3062.0,8
0,1,0,0,0,3063.0,1
1,0,0,0,0,3065.0,1
0,0,1,0,0,3071.0,1
1,1,0,0,0,3073.0,2
0,1,0,0,0,3079.0,1
0,2,0,0,0,3080.0,2
0,1,0,0,0,3082.0,1
0,1,0,0,0,3083.0,1
1,3,0,0,0,3085.0,4
0,1,0,0,0,3086.0,1
1,1,0,0,0,3090.0,2
1,0,0,0,0,3091.0,1
0,3,0,0,0,3094.0,3
0,0,1,0,0,3097.0,1
1,0,0,0,0,3100.0,1
1,0,0,0,0,3101.0,1
2,0,0,0,0,3103.0,2
0,1,0,0,0,3105.0,1
0,1,0,0,0,3107.0,1
0,0,2,0,0,3111.0,2
0,1,0,0,0,3112.0,1
0,1,0,0,0,3116.0,1
1,0,0,0,0,3125.0,1
0,1,0,0,0,3126.0,1
0,1,0,0,0,3129.0,1
11,3,1,1,1,3130.0,17
0,0,1,0,0,3136.0,1
1,1,0,0,1,3137.0,3
0,0,1,0,0,3147.0,1
