grid_id,休闲_density,办公_density,公共服务_density,交通设施_density,居住_density,total_density
1,12.0,0.0,12.0,8.0,4.0,36.0
2,304.0,40.0,136.0,56.0,92.0,628.0
3,12.0,12.0,12.0,16.0,8.0,60.0
4,4.0,12.0,28.0,8.0,0.0,52.0
5,0.0,4.0,0.0,4.0,0.0,8.0
6,0.0,0.0,0.0,4.0,4.0,8.0
7,1044.0,148.0,44.0,56.0,0.0,1292.0
8,12.0,16.0,12.0,0.0,0.0,40.0
9,12.0,4.0,4.0,4.0,0.0,24.0
10,12.0,28.0,0.0,4.0,16.0,60.0
11,12.0,144.0,20.0,12.0,28.0,216.0
12,0.0,56.0,16.0,52.0,4.0,128.0
13,0.0,8.0,8.0,8.0,0.0,24.0
14,8.0,12.0,0.0,12.0,0.0,32.0
15,112.0,40.0,44.0,16.0,8.0,220.0
16,16.0,40.0,12.0,24.0,8.0,100.0
17,12.0,28.0,112.0,8.0,0.0,160.0
18,292.0,44.0,136.0,60.0,12.0,544.0
19,56.0,84.0,176.0,56.0,4.0,376.0
20,96.0,56.0,104.0,36.0,12.0,304.0
21,160.0,20.0,96.0,36.0,8.0,320.0
22,864.0,276.0,464.0,144.0,92.0,1840.0
23,136.0,36.0,112.0,24.0,0.0,308.0
24,4.0,28.0,4.0,8.0,0.0,44.0
25,0.0,20.0,20.0,4.0,0.0,44.0
26,4.0,60.0,24.0,40.0,12.0,140.0
27,8.0,76.0,36.0,48.0,4.0,172.0
28,0.0,8.0,0.0,8.0,0.0,16.0
29,0.0,0.0,0.0,16.0,0.0,16.0
30,0.0,0.0,0.0,0.0,0.0,0.0
31,20.0,0.0,8.0,0.0,0.0,28.0
32,24.0,20.0,4.0,4.0,0.0,52.0
33,4.0,4.0,0.0,0.0,0.0,8.0
34,0.0,4.0,0.0,8.0,0.0,12.0
35,0.0,8.0,0.0,8.0,4.0,20.0
36,0.0,24.0,24.0,36.0,4.0,88.0
37,68.0,40.0,36.0,36.0,8.0,188.0
38,0.0,0.0,0.0,20.0,4.0,24.0
39,12.0,112.0,12.0,56.0,8.0,200.0
40,20.0,52.0,36.0,44.0,8.0,160.0
41,1952.0,44.0,616.0,80.0,60.0,2752.0
42,524.0,60.0,308.0,116.0,72.0,1080.0
43,48.0,16.0,172.0,32.0,8.0,276.0
44,92.0,20.0,424.0,60.0,12.0,608.0
45,156.0,32.0,228.0,88.0,12.0,516.0
46,336.0,76.0,744.0,104.0,28.0,1288.0
47,356.0,28.0,416.0,136.0,40.0,976.0
48,244.0,20.0,136.0,60.0,12.0,472.0
49,52.0,20.0,196.0,40.0,12.0,320.0
50,96.0,32.0,84.0,20.0,16.0,248.0
51,20.0,32.0,20.0,8.0,0.0,80.0
52,60.0,84.0,80.0,64.0,20.0,308.0
53,48.0,40.0,24.0,36.0,12.0,160.0
54,12.0,16.0,28.0,44.0,4.0,104.0
55,0.0,0.0,8.0,8.0,0.0,16.0
56,0.0,8.0,8.0,4.0,0.0,20.0
57,0.0,0.0,0.0,4.0,0.0,4.0
58,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,4.0,0.0,4.0
60,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,4.0,0.0,4.0,0.0,8.0
62,4.0,0.0,8.0,4.0,0.0,16.0
63,12.0,0.0,28.0,20.0,4.0,64.0
64,20.0,36.0,4.0,24.0,24.0,108.0
65,0.0,4.0,20.0,32.0,12.0,68.0
66,0.0,4.0,12.0,48.0,8.0,72.0
67,0.0,4.0,0.0,24.0,12.0,40.0
68,4.0,4.0,16.0,8.0,8.0,40.0
69,32.0,8.0,48.0,52.0,12.0,152.0
70,100.0,128.0,88.0,52.0,36.0,404.0
71,480.0,100.0,288.0,100.0,52.0,1020.0
72,252.0,76.0,156.0,112.0,48.0,644.0
73,76.0,4.0,80.0,64.0,0.0,224.0
74,424.0,52.0,228.0,132.0,52.0,888.0
75,276.0,96.0,296.0,84.0,36.0,788.0
76,212.0,212.0,200.0,104.0,24.0,752.0
77,32.0,40.0,60.0,48.0,0.0,180.0
78,0.0,0.0,0.0,0.0,0.0,0.0
79,472.0,24.0,316.0,92.0,24.0,928.0
80,1364.0,112.0,488.0,104.0,272.0,2340.0
81,240.0,20.0,72.0,64.0,8.0,404.0
82,140.0,68.0,172.0,36.0,16.0,432.0
83,128.0,56.0,212.0,36.0,4.0,436.0
84,20.0,60.0,92.0,24.0,12.0,208.0
85,156.0,28.0,116.0,16.0,0.0,316.0
86,244.0,44.0,128.0,52.0,8.0,476.0
87,0.0,88.0,20.0,20.0,0.0,128.0
88,0.0,24.0,32.0,32.0,12.0,100.0
89,56.0,96.0,68.0,76.0,20.0,316.0
90,68.0,16.0,40.0,28.0,8.0,160.0
91,0.0,12.0,0.0,4.0,4.0,20.0
92,0.0,12.0,4.0,16.0,0.0,32.0
93,8.0,4.0,0.0,0.0,0.0,12.0
94,0.0,0.0,0.0,8.0,0.0,8.0
95,0.0,0.0,4.0,0.0,0.0,4.0
96,8.0,8.0,4.0,36.0,0.0,56.0
97,112.0,188.0,80.0,48.0,32.0,460.0
98,116.0,36.0,52.0,40.0,12.0,256.0
99,8.0,0.0,12.0,28.0,8.0,56.0
100,20.0,4.0,36.0,36.0,8.0,104.0
101,0.0,8.0,0.0,8.0,20.0,36.0
102,24.0,24.0,8.0,20.0,8.0,84.0
103,100.0,28.0,44.0,36.0,32.0,240.0
104,44.0,60.0,68.0,20.0,8.0,200.0
105,224.0,36.0,168.0,104.0,36.0,568.0
106,184.0,104.0,72.0,24.0,8.0,392.0
107,4.0,24.0,32.0,12.0,0.0,72.0
108,264.0,72.0,184.0,60.0,32.0,612.0
109,384.0,124.0,252.0,48.0,60.0,868.0
110,364.0,116.0,208.0,32.0,32.0,752.0
111,68.0,4.0,20.0,0.0,12.0,104.0
112,204.0,48.0,144.0,84.0,48.0,528.0
113,2872.0,348.0,1324.0,272.0,832.0,5648.0
114,588.0,152.0,352.0,136.0,76.0,1304.0
115,12.0,8.0,0.0,20.0,12.0,52.0
116,0.0,36.0,12.0,0.0,0.0,48.0
117,92.0,100.0,128.0,36.0,4.0,360.0
118,4.0,24.0,8.0,4.0,0.0,40.0
119,44.0,28.0,32.0,0.0,4.0,108.0
120,104.0,92.0,144.0,48.0,36.0,424.0
121,4.0,44.0,40.0,16.0,0.0,104.0
122,8.0,84.0,32.0,16.0,4.0,144.0
123,300.0,96.0,244.0,24.0,40.0,704.0
124,20.0,48.0,48.0,24.0,0.0,140.0
125,0.0,4.0,0.0,8.0,0.0,12.0
126,4.0,8.0,4.0,24.0,0.0,40.0
127,0.0,4.0,0.0,0.0,0.0,4.0
128,0.0,0.0,4.0,0.0,0.0,4.0
129,4.0,4.0,16.0,0.0,4.0,28.0
130,244.0,12.0,72.0,76.0,44.0,448.0
131,0.0,8.0,0.0,8.0,0.0,16.0
132,208.0,164.0,24.0,84.0,28.0,508.0
133,108.0,360.0,80.0,96.0,56.0,700.0
134,64.0,88.0,36.0,52.0,32.0,272.0
135,60.0,20.0,72.0,64.0,24.0,240.0
136,12.0,4.0,16.0,44.0,8.0,84.0
137,12.0,4.0,4.0,24.0,12.0,56.0
138,116.0,16.0,84.0,32.0,16.0,264.0
139,192.0,216.0,168.0,96.0,44.0,716.0
140,32.0,4.0,8.0,12.0,24.0,80.0
141,0.0,28.0,16.0,8.0,4.0,56.0
142,12.0,24.0,12.0,28.0,12.0,88.0
143,180.0,4.0,120.0,32.0,48.0,384.0
144,96.0,40.0,4.0,44.0,0.0,184.0
145,732.0,80.0,120.0,48.0,8.0,988.0
146,92.0,64.0,168.0,84.0,36.0,444.0
147,276.0,68.0,208.0,48.0,12.0,612.0
148,364.0,80.0,164.0,36.0,20.0,664.0
149,420.0,36.0,276.0,76.0,84.0,892.0
150,388.0,52.0,196.0,60.0,52.0,748.0
151,88.0,4.0,60.0,40.0,40.0,232.0
152,12.0,12.0,12.0,16.0,8.0,60.0
153,4.0,4.0,8.0,4.0,12.0,32.0
154,184.0,84.0,140.0,28.0,28.0,464.0
155,8.0,60.0,16.0,16.0,12.0,112.0
156,0.0,4.0,12.0,0.0,0.0,16.0
157,44.0,68.0,108.0,36.0,16.0,272.0
158,0.0,0.0,0.0,0.0,0.0,0.0
159,4.0,36.0,16.0,4.0,0.0,60.0
160,60.0,84.0,176.0,28.0,12.0,360.0
161,4.0,8.0,24.0,0.0,0.0,36.0
162,8.0,16.0,8.0,0.0,8.0,40.0
163,0.0,8.0,0.0,0.0,0.0,8.0
164,0.0,4.0,0.0,4.0,0.0,8.0
165,0.0,4.0,0.0,8.0,0.0,12.0
166,0.0,0.0,0.0,24.0,0.0,24.0
167,364.0,32.0,276.0,144.0,80.0,896.0
168,536.0,40.0,236.0,128.0,92.0,1032.0
169,0.0,4.0,16.0,12.0,8.0,40.0
170,0.0,4.0,8.0,12.0,0.0,24.0
