adName,大类,wgs84_lng,wgs84_lat,X_CGC2000,Y_CGC2000
新城区,政府机构及社会团体,108.946379,34.26266,34341.73098762531,3804376.4242903837
新城区,政府机构及社会团体,108.952283,34.266386,34906.84820447356,3804763.234648797
新城区,政府机构及社会团体,108.946476,34.262663,34350.69402437034,3804376.3121342454
新城区,政府机构及社会团体,108.952103,34.267536,34896.60105000966,3804891.808834137
新城区,政府机构及社会团体,108.946545,34.265792,34374.36356011679,3804723.5835010405
新城区,政府机构及社会团体,108.945032,34.264911,34229.94848050142,3804632.665343429
新城区,政府机构及社会团体,108.946473,34.265563,34366.4565526325,3804698.4754222436
新城区,政府机构及社会团体,108.951577,34.266096,34840.13356915105,3804734.258275115
新城区,政府机构及社会团体,108.946369,34.265579,34356.95331828715,3804700.730376149
新城区,政府机构及社会团体,108.952935,34.274904,35014.03840566194,3805706.4719242877
新城区,政府机构及社会团体,108.946331,34.267446,34363.77551654802,3804908.3025469766
新城区,政府机构及社会团体,108.946406,34.266872,34367.51752477331,3804844.1947322735
新城区,政府机构及社会团体,108.945072,34.26433,34230.42332454806,3804567.9405706506
新城区,政府机构及社会团体,108.961089,34.271802,35748.86806043598,3805324.516216227
新城区,政府机构及社会团体,108.948152,34.275087,34573.9733732593,3805748.7493475843
新城区,政府机构及社会团体,108.961119,34.271695,35751.04449809529,3805312.492734037
新城区,政府机构及社会团体,108.952889,34.27487,35009.60854130762,3805702.9060005555
新城区,政府机构及社会团体,108.948203,34.275057,34578.51055794058,3805745.1826235238
新城区,政府机构及社会团体,108.948095,34.275103,34568.80545907619,3805750.7884173817
新城区,政府机构及社会团体,108.961261,34.272492,35768.53574872104,3805400.3773852307
新城区,政府机构及社会团体,108.961167,34.271794,35756.017137540795,3805323.270372598
新城区,政府机构及社会团体,108.961269,34.266891,35738.38269492483,3804778.152911894
新城区,政府机构及社会团体,108.960181,34.265997,35633.10954795458,3804683.824777826
新城区,政府机构及社会团体,108.959914,34.268571,35622.684115742915,3804970.980870181
新城区,政府机构及社会团体,108.960737,34.273841,35727.6540828711,3805552.630779994
新城区,政府机构及社会团体,108.956036,34.269301,35269.06865140848,3805069.841056272
新城区,政府机构及社会团体,108.956029,34.264707,35243.06129939627,3804559.5465750783
新城区,政府机构及社会团体,108.952172,34.267498,34902.754675865,3804887.27107648
新城区,政府机构及社会团体,108.960655,34.274044,35721.212032753916,3805575.556595103
新城区,政府机构及社会团体,108.956587,34.26979,35322.58329250256,3805121.6364532416
新城区,政府机构及社会团体,108.96114,34.267161,35727.97459569934,3804808.7365406835
新城区,政府机构及社会团体,108.960729,34.267343,35691.073662103736,3804830.8359644944
新城区,政府机构及社会团体,108.961031,34.267286,35718.61139138625,3804823.1212673965
新城区,政府机构及社会团体,108.959328,34.26976,35575.20081168966,3805105.745225404
新城区,政府机构及社会团体,108.956637,34.264787,35299.57787105499,3804565.646971324
新城区,政府机构及社会团体,108.956613,34.269987,35326.06860860443,3805143.401123654
新城区,政府机构及社会团体,108.956587,34.269791,35322.5888129145,3805121.7475386695
新城区,政府机构及社会团体,108.956685,34.264944,35304.871417877206,3804582.867411835
新城区,政府机构及社会团体,108.956583,34.264919,35295.32613381633,3804580.5577113293
新城区,政府机构及社会团体,108.956618,34.269833,35325.67958175589,3805126.2710527936
新城区,政府机构及社会团体,108.951757,34.266248,34857.574323070294,3804750.317587195
新城区,政府机构及社会团体,108.95125,34.264979,34803.80302380258,3804611.675625841
新城区,政府机构及社会团体,108.951476,34.269167,34847.78817201755,3805075.8659127215
新城区,政府机构及社会团体,108.951621,34.266163,34844.56177173043,3804741.499174031
新城区,政府机构及社会团体,108.959802,34.26861,35612.57015949744,3804975.8261501477
新城区,政府机构及社会团体,108.960655,34.274044,35721.212032753916,3805575.556595103
新城区,政府机构及社会团体,108.960632,34.274021,35718.964136003924,3805573.1069662254
新城区,政府机构及社会团体,108.94647,34.265558,34366.15221319563,3804697.933768143
新城区,政府机构及社会团体,108.962115,34.263806,35799.396118050034,3804431.5823461437
新城区,政府机构及社会团体,108.952888,34.27501,35010.28985493642,3805718.462582589
新城区,政府机构及社会团体,108.946493,34.26547,34367.786738628114,3804688.052579619
新城区,政府机构及社会团体,108.960697,34.270611,35706.14795559319,3805194.0088248393
新城区,政府机构及社会团体,108.954543,34.275053,35163.14713577641,3805715.649438018
新城区,政府机构及社会团体,108.953984,34.271292,35090.82278652489,3805300.4197710194
新城区,政府机构及社会团体,108.954525,34.274979,35161.07849083387,3805707.5116396984
新城区,政府机构及社会团体,108.960726,34.274856,35732.2389183559,3805665.4326204387
新城区,政府机构及社会团体,108.960697,34.270611,35706.14795559319,3805194.0088248393
新城区,政府机构及社会团体,108.960582,34.270609,35695.531407027214,3805194.313283008
新城区,政府机构及社会团体,108.95544,34.275297,35247.213504574494,3805738.6417125706
新城区,政府机构及社会团体,108.960404,34.274698,35701.67330865265,3805649.3558245357
新城区,政府机构及社会团体,108.961082,34.271795,35748.183906477585,3805323.770673449
新城区,政府机构及社会团体,108.946825,34.275337,34452.98357324494,3805782.614057134
新城区,政府机构及社会团体,108.954377,34.275024,35147.6788797382,3805713.1891186335
新城区,政府机构及社会团体,108.955035,34.270268,35182.09272955725,3805181.8493154226
新城区,政府机构及社会团体,108.952888,34.27501,35010.28985493642,3805718.462582589
新城区,政府机构及社会团体,108.952911,34.275159,35013.234113283106,3805734.9088537605
新城区,政府机构及社会团体,108.947083,34.27531,34476.626300982665,3805778.4299433045
新城区,政府机构及社会团体,108.953041,34.275322,35026.12294787,3805752.4195494964
