adName,大类,wgs84_lng,wgs84_lat,X_CGC2000,Y_CGC2000
新城区,商务住宅,108.973602,34.285299,36977.091955077776,3806766.596565323
新城区,商务住宅,108.977907,34.295239,37428.70176875056,3807851.114790453
新城区,商务住宅,108.973428,34.287792,36974.77024032088,3807044.325009152
新城区,商务住宅,109.012029,34.261493,40390.24066026532,3803947.3043135726
新城区,商务住宅,109.00243,34.271636,39560.4053068792,3805117.557121758
新城区,商务住宅,108.996867,34.27772,39080.712470035534,3805818.662392881
新城区,商务住宅,109.002694,34.265667,39552.10427013575,3804453.3065318675
新城区,商务住宅,109.001673,34.286578,39572.35808130383,3806780.792162966
新城区,商务住宅,109.001082,34.283142,39499.05988263985,3806401.7968738023
新城区,商务住宅,108.976355,34.281306,37208.968604625436,3806310.4637646847
新城区,商务住宅,108.999956,34.280721,39381.982733764744,3806137.9815890896
新城区,商务住宅,109.005909,34.262218,39829.75850976724,3804055.5904250825
新城区,商务住宅,109.004067,34.266217,39681.73648716387,3804508.1685676267
新城区,商务住宅,109.003244,34.270173,39627.469941723044,3804951.347179426
新城区,商务住宅,109.003304,34.267406,39617.871178970614,3804643.7094422346
新城区,商务住宅,109.004514,34.263816,39709.834884382726,3804239.4306798945
新城区,商务住宅,108.997493,34.278588,39143.190837386064,3805912.2363488805
新城区,商务住宅,108.99914,34.279506,39300.08840397152,3806006.7241633916
新城区,商务住宅,109.000508,34.284006,39450.86308996199,3806500.3802686296
新城区,商务住宅,108.975862,34.281293,37163.43792062887,3806311.2706454247
新城区,商务住宅,108.996293,34.278008,39029.360267587064,3805853.2642138465
新城区,商务住宅,108.995786,34.277979,38982.449968530214,3805852.3483442124
新城区,商务住宅,108.976417,34.292744,37277.60558878258,3807580.7624896658
新城区,商务住宅,108.99992,34.281798,39384.55894738855,3806257.781326097
新城区,商务住宅,109.000987,34.284148,39495.80652561266,3806513.9776927764
新城区,商务住宅,108.996272,34.277665,39025.544947486895,3805815.258239221
新城区,商务住宅,108.975827,34.291116,37214.251810658025,3807402.611496016
新城区,商务住宅,108.997428,34.277679,39132.21895129525,3805811.5574744022
