adName,大类,wgs84_lng,wgs84_lat,X_CGC2000,Y_CGC2000
新城区,通行设施,109.002047,34.259901,39460.89875355858,3803815.7423793697
新城区,通行设施,109.001473,34.260639,39411.994362513826,3803900.327894588
新城区,通行设施,109.006087,34.262338,39846.83100495918,3804068.112661179
新城区,通行设施,109.005042,34.263691,39757.84752811643,3804223.1490385276
新城区,通行设施,109.00501,34.263377,39753.179898577044,3804188.4143945677
新城区,通行设施,109.006123,34.262377,39850.36436062498,3804072.281531373
新城区,通行设施,109.004605,34.270201,39753.1346256024,3804948.278950045
新城区,通行设施,109.007641,34.269309,40028.24053786142,3804835.4171476206
新城区,通行设施,109.005123,34.269542,39797.301940970705,3804872.72452173
新城区,通行设施,109.007641,34.269309,40028.24053786142,3804835.4171476206
新城区,通行设施,109.008408,34.269074,40097.69010397786,3804805.8337982786
新城区,通行设施,109.006703,34.26914,39940.81372867053,3804820.8996405937
新城区,通行设施,109.006528,34.264405,39898.79877951945,3804295.7189250523
新城区,通行设施,109.011406,34.272135,40390.88195925433,3805132.2624613745
新城区,通行设施,109.011432,34.27148,40389.70319492946,3805059.38587807
新城区,通行设施,109.006632,34.269148,39934.30974955059,3804822.1104351836
新城区,通行设施,109.007088,34.268756,39974.220460379496,3804776.497330588
新城区,通行设施,109.003254,34.271735,39636.93485812552,3805124.812684217
新城区,通行设施,109.007119,34.264246,39952.43578808999,3804275.375660831
新城区,通行设施,109.007702,34.264484,40007.5040849541,3804299.1686576465
新城区,通行设施,109.007829,34.244782,39911.609362441,3802110.0516341897
新城区,通行设施,109.006938,34.248459,39849.49878395273,3802522.5415106695
新城区,通行设施,109.007206,34.268635,39984.44140662596,3804762.5210490567
新城区,通行设施,109.00649,34.244669,39787.47215218574,3802103.5719332853
新城区,通行设施,109.005636,34.268581,39839.35817252763,3804763.646197788
新城区,通行设施,109.006583,34.268626,39926.938119261526,3804764.3477901635
新城区,通行设施,109.00853,34.268555,40106.10579895659,3804747.628813069
新城区,通行设施,109.005806,34.254194,39776.41191882652,3803164.733293971
新城区,通行设施,109.008076,34.248363,39953.948113672726,3802506.7167080073
新城区,通行设施,109.002312,34.247555,39417.835772978025,3802443.1144176275
新城区,通行设施,109.002919,34.244844,39459.01029139414,3802139.2144434317
新城区,通行设施,109.00538,34.25058,39717.37127748545,3802765.2146481834
新城区,通行设施,109.012905,34.246702,40390.33261071943,3802300.3231235063
新城区,通行设施,109.001345,34.276568,39487.334211166424,3805670.3445002064
新城区,通行设施,109.005333,34.250722,39713.81179971952,3802781.2015836434
新城区,通行设施,109.011671,34.243457,40258.796265831275,3801945.4531302294
新城区,通行设施,109.001289,34.255794,39368.52432933549,3803362.9683507048
新城区,通行设施,109.002994,34.265011,39576.18442359095,3804379.0742747923
新城区,通行设施,109.001154,34.254975,39351.59316187387,3803272.6047830083
新城区,通行设施,109.006934,34.25083,39862.08030543773,3802785.935565365
新城区,通行设施,109.000402,34.251867,39265.23084485682,3802930.7752888235
新城区,通行设施,109.003045,34.265683,39584.56279604853,3804453.490174805
新城区,通行设施,109.00669,34.250414,39837.301047503366,3802740.8321093284
新城区,通行设施,108.997695,34.254698,39031.028945123195,3803257.5486771963
新城区,通行设施,109.001331,34.255575,39371.20052105107,3803338.450534837
新城区,通行设施,109.001057,34.256374,39350.297813285084,3803428.4498474877
新城区,通行设施,109.002994,34.265348,39578.027329735225,3804416.5090835732
新城区,通行设施,109.000155,34.269192,39337.23325903778,3804856.4044784936
新城区,通行设施,108.99771,34.26561,39092.14137928351,3804469.616295249
