adName,大类,wgs84_lng,wgs84_lat
新城区,生活服务,108.963546,34.268773
新城区,生活服务,108.996171,34.278757
新城区,生活服务,108.962349,34.27471
新城区,生活服务,108.972827,34.28814
新城区,生活服务,108.976957,34.289802
新城区,生活服务,108.974124,34.291904
新城区,生活服务,108.99504,34.278756
新城区,生活服务,108.962292,34.27479
新城区,生活服务,108.995127,34.279137
新城区,生活服务,108.995094,34.268198
新城区,生活服务,108.962424,34.263524
新城区,生活服务,108.956619,34.275131
新城区,生活服务,108.993686,34.279174
新城区,生活服务,108.962363,34.262868
新城区,生活服务,108.997645,34.268147
新城区,生活服务,108.97684,34.28892
新城区,生活服务,108.999377,34.28164
新城区,生活服务,108.9951,34.268193
新城区,生活服务,108.998122,34.282396
新城区,生活服务,108.956994,34.263496
新城区,生活服务,108.956633,34.275304
新城区,生活服务,108.962464,34.27509
新城区,生活服务,108.995975,34.27873
新城区,生活服务,108.997876,34.267375
新城区,生活服务,108.990153,34.280328
新城区,生活服务,108.990088,34.280182
新城区,生活服务,108.989961,34.280431
新城区,生活服务,108.99023,34.280481
新城区,生活服务,108.98984,34.280413
新城区,生活服务,108.959762,34.261219
新城区,生活服务,108.959079,34.261426
新城区,生活服务,108.972813,34.288264
新城区,生活服务,108.976471,34.289019
新城区,生活服务,108.972267,34.291029
新城区,生活服务,108.997559,34.267545
新城区,生活服务,108.958803,34.261423
新城区,生活服务,108.958704,34.26514
新城区,生活服务,108.956917,34.275132
新城区,生活服务,108.97759,34.295492
新城区,生活服务,108.960484,34.264832
新城区,生活服务,108.961563,34.275115
新城区,生活服务,108.961835,34.274981
新城区,生活服务,108.970831,34.296212
新城区,生活服务,108.970831,34.296475
新城区,生活服务,108.971004,34.292141
新城区,生活服务,108.977915,34.292242
新城区,生活服务,108.977929,34.292242
新城区,生活服务,108.962089,34.263862
新城区,生活服务,108.962088,34.275477
新城区,生活服务,108.960807,34.278754
新城区,生活服务,108.956648,34.276232
新城区,生活服务,108.972845,34.288364
新城区,生活服务,108.962124,34.277322
新城区,生活服务,108.962164,34.274979
新城区,生活服务,108.962096,34.264018
新城区,生活服务,108.957061,34.263496
新城区,生活服务,108.962138,34.262508
新城区,生活服务,108.962114,34.264215
新城区,生活服务,108.962137,34.264158
新城区,生活服务,108.957447,34.264602
新城区,生活服务,108.977995,34.292243
新城区,生活服务,108.975773,34.288244
新城区,生活服务,108.958528,34.274393
新城区,生活服务,108.975957,34.290445
新城区,生活服务,108.964148,34.267647
新城区,生活服务,108.967977,34.269817
新城区,生活服务,108.965599,34.265513
新城区,生活服务,108.964676,34.265728
新城区,生活服务,108.977962,34.292242
新城区,生活服务,108.961878,34.263287
新城区,生活服务,108.957491,34.264982
新城区,生活服务,108.962076,34.262432
新城区,生活服务,108.957048,34.275086
新城区,生活服务,108.962492,34.263463
新城区,生活服务,108.972794,34.288182
新城区,生活服务,108.962128,34.263829
新城区,生活服务,108.972881,34.287933
新城区,生活服务,108.957042,34.275086
新城区,生活服务,108.994789,34.279157
新城区,生活服务,108.997578,34.267491
新城区,生活服务,108.960487,34.261248
新城区,生活服务,108.961235,34.278637
新城区,生活服务,108.971764,34.289557
新城区,生活服务,108.972146,34.290669
新城区,生活服务,108.971371,34.297991
新城区,生活服务,108.971504,34.298018
新城区,生活服务,108.971967,34.298005
新城区,生活服务,108.972291,34.297767
新城区,生活服务,108.972232,34.297777
新城区,生活服务,108.971959,34.298013
新城区,生活服务,108.97209,34.298022
新城区,生活服务,108.971952,34.298005
新城区,生活服务,108.971847,34.298022
新城区,生活服务,108.971638,34.298007
新城区,生活服务,108.971396,34.297923
新城区,生活服务,108.990226,34.280472
新城区,生活服务,108.989713,34.280349
新城区,生活服务,108.989752,34.280241
新城区,生活服务,108.989656,34.280298
新城区,生活服务,108.989795,34.280221
新城区,生活服务,108.990046,34.280137
新城区,生活服务,108.989557,34.280445
新城区,生活服务,108.990299,34.28021
新城区,生活服务,108.98989,34.280545
新城区,生活服务,109.011472,34.242758
新城区,生活服务,108.989723,34.280243
新城区,生活服务,108.989752,34.280241
新城区,生活服务,108.989745,34.280235
新城区,生活服务,108.990083,34.280157
新城区,生活服务,108.971188,34.298012
新城区,生活服务,108.962443,34.275033
新城区,生活服务,108.956046,34.276594
新城区,生活服务,108.960041,34.269614
新城区,生活服务,108.963037,34.269831
新城区,生活服务,108.972366,34.29066
新城区,生活服务,108.960263,34.267732
新城区,生活服务,108.959938,34.269789
新城区,生活服务,108.959914,34.269673
新城区,生活服务,108.959938,34.26942
新城区,生活服务,108.960002,34.26816
新城区,生活服务,108.970033,34.271002
新城区,生活服务,108.959642,34.268951
新城区,生活服务,108.96018,34.269738
新城区,生活服务,108.959697,34.2696
新城区,生活服务,108.973023,34.288384
新城区,生活服务,108.958575,34.272339
新城区,生活服务,108.958947,34.273234
新城区,生活服务,108.956531,34.271802
新城区,生活服务,108.959343,34.272707
新城区,生活服务,108.957408,34.27133
新城区,生活服务,108.959009,34.270051
新城区,生活服务,108.958734,34.27238
新城区,生活服务,108.958523,34.272004
新城区,生活服务,108.956745,34.271249
新城区,生活服务,108.959592,34.27346
新城区,生活服务,108.959328,34.273167
新城区,生活服务,108.95875,34.272277
新城区,生活服务,109.02256,34.25292
新城区,生活服务,108.959672,34.267351
新城区,生活服务,108.96066,34.267618
新城区,生活服务,108.944784,34.263624
新城区,生活服务,108.95983,34.267275
新城区,生活服务,108.95982,34.267267
新城区,生活服务,108.944408,34.263454
新城区,生活服务,108.960179,34.268913
新城区,生活服务,108.944794,34.263695
新城区,生活服务,108.944821,34.263565
新城区,生活服务,108.944794,34.263608
新城区,生活服务,108.944394,34.263454
新城区,生活服务,108.944571,34.264528
新城区,生活服务,108.944794,34.263761
新城区,生活服务,108.944422,34.263454
新城区,生活服务,108.964297,34.261388
新城区,生活服务,108.970778,34.289039
新城区,生活服务,109.017316,34.288985
新城区,生活服务,108.964544,34.265732
新城区,生活服务,108.964433,34.265678
新城区,生活服务,108.991111,34.270181
新城区,生活服务,108.991122,34.270467
新城区,生活服务,108.977402,34.289442
新城区,生活服务,108.977725,34.288877
新城区,生活服务,108.970926,34.291937
新城区,生活服务,108.971052,34.291903
新城区,生活服务,108.971022,34.292047
新城区,生活服务,108.96542,34.261982
新城区,生活服务,108.965968,34.261528
新城区,生活服务,108.965296,34.262033
新城区,生活服务,108.987658,34.26996
新城区,生活服务,108.959595,34.26768
新城区,生活服务,108.962921,34.269808
新城区,生活服务,108.959735,34.269572
新城区,生活服务,108.991479,34.270388
新城区,生活服务,108.991219,34.270459
新城区,生活服务,108.963569,34.267086
新城区,生活服务,108.964332,34.265973
新城区,生活服务,108.987702,34.269963
新城区,生活服务,108.999894,34.281894
新城区,生活服务,108.998757,34.269204
新城区,生活服务,108.955972,34.275023
新城区,生活服务,108.999662,34.27943
新城区,生活服务,108.965451,34.262058
新城区,生活服务,109.017475,34.290187
新城区,生活服务,108.96485,34.263462
新城区,生活服务,108.959708,34.26966
新城区,生活服务,108.960162,34.26955
新城区,生活服务,108.959724,34.266986
新城区,生活服务,108.95982,34.268902
新城区,生活服务,108.959955,34.267061
新城区,生活服务,108.959966,34.267111
新城区,生活服务,108.959993,34.267042
新城区,生活服务,108.959939,34.267057
新城区,生活服务,108.959696,34.26718
