grid_id,segment_count,total_length_m
1,1,519.1238652594722
2,15,3185.227928171491
3,7,1182.1167707586505
4,1,496.07644877284383
5,0,0.0
6,12,3315.5660006602325
7,32,8161.398951657111
8,1,54.13642511159145
9,9,766.0128730087519
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,18,5941.816484322705
16,10,1858.7550436231732
17,0,0.0
18,26,4638.2432387488725
19,10,2011.1359497267672
20,14,4119.069214066768
21,69,16085.49840945803
22,45,12085.610176803795
23,33,14744.597495493705
24,37,11293.612907899686
25,25,4727.906032366342
26,23,6294.054512075771
27,0,0.0
28,0,0.0
29,0,0.0
30,0,0.0
31,0,0.0
32,0,0.0
33,0,0.0
34,0,0.0
35,0,0.0
36,10,3151.065307617059
37,25,5636.87303526111
38,87,17495.602788708835
39,48,14495.056167922383
40,21,6221.023894415911
41,52,11275.17345375748
42,58,14884.425180561459
43,7,913.4086209317744
44,10,3143.9170972429597
45,41,11974.176818421005
46,49,11869.861580702818
47,89,27548.051411706314
48,158,40233.92571135514
49,80,27141.311288385124
50,45,14306.684997238719
51,22,6751.950941108215
52,26,7675.41097163427
53,41,9982.187169783107
54,1,221.76771450707133
55,3,515.8297404937366
56,0,0.0
57,0,0.0
58,0,0.0
59,0,0.0
60,0,0.0
61,0,0.0
62,0,0.0
63,5,923.4221226899544
64,35,10088.134612179845
65,61,20639.24022677478
66,56,17883.57004112405
67,33,12586.177643964038
68,109,34096.67808864814
69,124,46747.00585845672
70,135,55415.934734261245
71,215,48986.53142234269
72,84,25109.644110201112
73,45,14449.02617518717
74,33,8925.316390714306
75,19,6360.426483614103
76,23,6961.7163911086445
77,46,12394.357027755832
78,91,29267.41470572665
79,135,36744.93839325665
80,73,23021.098133744053
81,68,21192.874861575565
82,48,14463.259582944838
83,37,10867.428253870017
84,39,17465.448461790613
85,61,16965.227733854095
86,36,10542.408327006495
87,6,2315.8209034265287
88,7,2594.218889532014
89,0,0.0
90,0,0.0
91,0,0.0
92,0,0.0
93,0,0.0
94,0,0.0
95,0,0.0
96,1,350.21053057991
97,124,30826.43602885254
98,190,45525.52511278013
99,82,25225.875325528832
100,84,31032.178883485067
101,68,24762.7043371539
102,128,38908.106500016
103,57,20147.066504530034
104,75,25875.19490230688
105,82,26364.471026254017
106,66,21988.502855013867
107,36,14082.772620983651
108,58,19761.038693178525
109,57,16446.065905755382
110,73,24114.535232046255
111,54,20289.390940743066
112,93,29324.58988683771
113,244,77376.72738319814
114,137,44922.27643134833
115,66,18992.03488939553
116,49,14956.084750818918
117,30,11290.156356766407
118,17,5610.601233800112
119,24,9535.964978989838
120,24,6661.421954760435
121,12,2902.9988677466085
122,11,4114.768648210021
123,2,469.2635329803624
124,1,266.41428743440645
125,0,0.0
126,0,0.0
127,0,0.0
128,0,0.0
129,0,0.0
130,131,19334.71589048975
131,246,64144.12006949933
132,425,103935.36342789205
133,380,148830.31420730776
134,482,140349.19718310403
135,391,153091.8061770051
136,250,84440.48201923187
137,160,58070.65865235496
138,195,67326.33259034334
139,179,63465.41107258035
140,83,33351.08119909351
141,97,31645.533765308697
142,72,22658.894920757142
143,33,11063.344544931226
144,28,7690.036478447153
145,57,17107.77190038668
146,67,22730.632258560458
147,105,36558.44952475897
148,189,57985.32421145101
149,282,111676.25325729042
150,501,100319.21798409871
151,76,20363.79667731739
152,13,4368.888152339641
153,20,6866.3489799621075
154,13,3463.321866008116
155,4,577.2853768291144
156,14,3460.707573753158
157,18,5038.493955500094
158,10,1731.3130392525086
159,13,3000.002619969855
160,4,661.3112903281142
161,0,0.0
162,0,0.0
163,0,0.0
164,0,0.0
165,0,0.0
166,0,0.0
167,242,62475.45365737692
168,345,120956.71737244132
169,562,200352.90703890368
170,539,133156.91636278262
171,404,150221.20221087246
172,314,131025.52076666994
173,338,121411.25228794229
174,277,101912.05738399965
175,249,86324.59255485005
176,286,89638.04578502347
177,146,43532.23561886454
178,64,20024.182525594388
179,68,21013.93118647899
180,79,23344.95738292711
181,51,16871.977056388252
182,47,16435.57402952037
183,60,18166.812184913542
184,77,24596.944524267506
185,124,31034.497132178458
186,143,44180.39691985939
187,167,46953.31856428459
188,106,33872.40455478744
189,65,19452.56126422213
190,39,9902.809787413356
191,41,10900.480739963741
192,20,5629.688760546815
193,7,1741.2856613118568
194,8,2968.9406966389297
195,12,4231.123183782589
196,2,743.5860649726023
197,8,3401.1536870672744
198,1,80.07696966616727
199,0,0.0
200,1,17.27308576832059
201,0,0.0
202,0,0.0
203,0,0.0
204,0,0.0
205,23,5651.082900221328
206,127,29010.39301669486
207,380,107918.89873599251
208,520,177004.15326046705
209,401,152017.68661246623
210,159,53988.186471242734
211,146,52144.17584617583
212,185,67625.55950102852
213,305,101855.18578687568
214,328,107065.4018851987
215,347,125919.39656303002
216,660,198172.81669100455
217,212,74220.2912060498
218,187,46145.713045482225
219,109,32075.2433336903
220,112,32687.439990462895
221,97,29414.33401019366
222,31,12393.134981243413
223,68,16632.5662151462
224,80,21359.453310081615
225,101,30916.47110435916
226,85,23126.83550076608
227,90,30768.580850682825
228,68,17816.43726284358
229,82,20395.023457172458
230,94,32762.303846916857
231,68,19162.217666382963
232,26,9233.778408891068
233,17,6398.008256054147
234,12,4884.377560633931
235,12,4229.4822894686195
236,5,1725.1619522021217
237,7,2538.7642327258145
238,0,0.0
239,0,0.0
240,1,415.06002463760655
241,1,167.15116223612205
242,0,0.0
243,0,0.0
244,0,0.0
245,0,0.0
246,52,10944.79601140746
247,86,30196.10119733014
248,439,92424.5835020274
249,532,157518.50030428873
250,374,99603.24205922261
251,218,57382.541923303936
252,79,32046.122507348788
253,96,37054.90163709183
254,80,31506.53968809393
255,117,44356.74822779677
256,141,46852.770581320816
257,123,44980.403937589675
258,283,79446.24132570857
259,226,82287.88786639353
260,181,54009.74459506084
261,195,46189.02025113278
262,151,63381.468444576865
263,165,44347.632363703146
264,91,24790.370037664226
265,116,32103.29434752905
266,143,45816.778279832106
267,133,42490.209284591765
268,157,53933.902783555845
269,139,40121.35297452864
270,42,11566.056650530181
271,40,7720.887131290508
272,25,6340.21756727366
273,18,5877.329706521532
274,16,6299.495007236656
275,13,2921.498209317135
276,11,4504.86691314723
277,14,4291.745849837319
278,4,486.1309462263226
279,5,1301.964387355538
280,2,764.1706139282278
281,1,414.79659791931607
282,0,0.0
283,1,582.2111868737286
284,1,102.3605415397139
285,0,0.0
286,0,0.0
287,0,0.0
288,86,28459.471050133332
289,149,42783.25579251224
290,311,88485.27027584333
291,360,135318.92112896134
292,329,110964.86870297694
293,164,55102.899235139594
294,92,32170.70779153883
295,94,35827.720962988176
296,88,31401.304404453193
297,107,39418.49995182348
298,86,35505.820150662985
299,98,30061.678739364907
300,128,41782.9790469784
301,207,55368.200163895155
302,230,64015.69595201885
303,212,55329.70170346882
304,144,51928.93195789686
305,121,41826.5636115983
306,127,34751.904908476965
307,177,46317.428971629466
308,154,45826.17482068196
309,117,40013.86261678286
310,281,71454.56028134149
311,135,35481.00404315678
312,30,4688.506286691197
313,4,1320.6155730706214
314,2,1081.757079540368
315,2,825.5014667065686
316,1,70.21473811361028
317,1,497.17506059457736
318,1,330.6556540250342
319,1,515.4126711832072
320,2,921.3695916702418
321,2,1091.048760358145
322,3,821.7643284313984
323,1,578.3196544785749
324,0,0.0
325,1,226.59105164340068
326,2,412.5062106732927
327,3,763.1753007559307
328,2,562.9983508912204
329,1,68.19642103319633
330,0,0.0
331,77,25484.129682517698
332,210,52739.9651714927
333,329,105751.53455207923
334,432,133168.14578214067
335,311,91668.22060816929
336,206,72671.22495200568
337,132,45211.60828454082
