grid_id,segment_count,total_length_m,total_length_km,carbon_emission_kg
1,1,519.1238652594722,0.5191238652594722,0.1219473871881026
2,15,3185.227928171491,3.185227928171491,0.748241892606765
3,7,1182.1167707586503,1.1821167707586504,0.2776910506189145
4,1,496.07644877284383,0.4960764487728438,0.11653331858122865
5,0,0.0,0.0,0.0
6,12,3315.5660006602325,3.3155660006602323,0.7788596092150952
7,32,8161.398951657111,8.16139895165711,1.9171942277337721
8,1,54.13642511159145,0.0541364251115914,0.012717187622963852
9,9,766.0128730087519,0.7660128730087519,0.17994408399848583
10,0,0.0,0.0,0.0
11,0,0.0,0.0,0.0
12,0,0.0,0.0,0.0
13,0,0.0,0.0,0.0
14,0,0.0,0.0,0.0
15,18,5941.816484322705,5.941816484322705,1.3957921103322468
16,10,1858.7550436231727,1.8587550436231728,0.4366401472975195
17,0,0.0,0.0,0.0
18,26,4638.2432387488725,4.638243238748872,1.0895697192144975
19,10,2011.1359497267672,2.011135949726768,0.47243594595031496
20,14,4119.069214066768,4.119069214066768,0.9676105490764243
21,69,16085.49840945803,16.08549840945803,3.7786444313657856
22,45,12085.610176803795,12.085610176803796,2.83903068663298
23,33,14744.597495493705,14.744597495493704,3.4636533976664268
24,37,11293.612907899686,11.293612907899686,2.6529826081947157
25,25,4727.906032366342,4.7279060323663415,1.1106324060631774
26,23,6294.054512075771,6.29405451207577,1.478536345431719
27,0,0.0,0.0,0.0
28,0,0.0,0.0,0.0
29,0,0.0,0.0,0.0
30,0,0.0,0.0,0.0
31,0,0.0,0.0,0.0
32,0,0.0,0.0,0.0
33,0,0.0,0.0,0.0
34,0,0.0,0.0,0.0
35,0,0.0,0.0,0.0
36,10,3151.065307617059,3.151065307617059,0.7402167514123233
37,25,5636.87303526111,5.63687303526111,1.3241578447131872
38,87,17495.602788708835,17.495602788708833,4.109892051095592
39,48,14495.056167922385,14.495056167922383,3.4050336444066476
40,21,6221.023894415911,6.221023894415911,1.4613807230372418
41,52,11275.17345375748,11.27517345375748,2.64865099602217
42,58,14884.42518056146,14.88442518056146,3.4965003191656927
43,7,913.4086209317744,0.9134086209317744,0.2145688191430831
44,10,3143.91709724296,3.14391709724296,0.7385375653133437
45,41,11974.176818421003,11.974176818421004,2.812853876415278
46,49,11869.861580702818,11.869861580702818,2.788349183922899
47,89,27548.05141170632,27.54805141170632,6.471312757123932
48,158,40233.92571135514,40.23392571135514,9.451351488854437
49,80,27141.311288385124,27.14131128838513,6.375765434754551
50,45,14306.68499723872,14.30668499723872,3.360783372701348
51,22,6751.950941108215,6.751950941108215,1.586100795575731
52,26,7675.41097163427,7.67541097163427,1.8030307913466064
53,41,9982.187169783108,9.982187169783108,2.3449155880537504
54,1,221.76771450707133,0.2217677145070713,0.052095453814856016
55,3,515.8297404937366,0.5158297404937366,0.12117356433938367
56,0,0.0,0.0,0.0
57,0,0.0,0.0,0.0
58,0,0.0,0.0,0.0
59,0,0.0,0.0,0.0
60,0,0.0,0.0,0.0
61,0,0.0,0.0,0.0
62,0,0.0,0.0,0.0
63,5,923.4221226899544,0.9234221226899544,0.2169210908410971
64,35,10088.134612179843,10.088134612179845,2.3698037017471667
65,61,20639.24022677478,20.639240226774778,4.8483639216716625
66,56,17883.57004112405,17.88357004112405,4.201029438360451
67,33,12586.177643964038,12.58617764396404,2.956618990343592
68,109,34096.67808864814,34.09667808864814,8.009650649804335
69,124,46747.00585845672,46.74700585845672,10.98133914621007
70,135,55415.934734261245,55.41593473426124,13.017757228425308
71,215,48986.53142234269,48.98653142234269,11.507426096422524
72,84,25109.644110201112,25.109644110201117,5.898506497927343
73,45,14449.02617518717,14.44902617518717,3.3942207388132175
74,33,8925.316390714306,8.925316390714306,2.0966460733426975
75,19,6360.426483614103,6.360426483614103,1.494127785265789
76,23,6961.7163911086445,6.961716391108644,1.6353767974353317
77,46,12394.357027755832,12.394357027755833,2.9115584093901226
78,91,29267.41470572665,29.267414705726647,6.875208388522247
79,135,36744.93839325665,36.744938393256646,8.631753477959919
80,73,23021.098133744053,23.02109813374405,5.4078861625978165
81,68,21192.874861575565,21.192874861575564,4.978418233732715
82,48,14463.259582944838,14.463259582944838,3.397564308629572
83,37,10867.428253870015,10.867428253870017,2.5528675711166056
84,39,17465.448461790613,17.46544846179061,4.102808498159233
85,61,16965.227733854095,16.965227733854096,3.9853016469596656
86,36,10542.408327006497,10.542408327006497,2.4765171400970964
87,6,2315.8209034265287,2.3158209034265287,0.5440094884239258
88,7,2594.218889532014,2.594218889532014,0.6094079593399654
89,0,0.0,0.0,0.0
90,0,0.0,0.0,0.0
91,0,0.0,0.0,0.0
92,0,0.0,0.0,0.0
93,0,0.0,0.0,0.0
94,0,0.0,0.0,0.0
95,0,0.0,0.0,0.0
96,1,350.21053057991,0.35021053057991,0.08226795573852662
97,124,30826.43602885254,30.826436028852537,7.24143808753775
98,190,45525.52511278013,45.52552511278013,10.69440110424318
99,82,25225.875325528832,25.225875325528836,5.925810372719978
