grid_id,segment_count,total_length_m,total_length_km,carbon_emission_kg
1,7,439.53513299512633,0.4395351329951263,0.1032511980918851
2,12,3900.6227551695615,3.900622755169562,0.9162952914168816
3,14,3513.2284700227106,3.5132284700227108,0.8252924998930351
4,2,373.5404593527258,0.3735404593527258,0.08774838930654875
5,3,915.9129045069692,0.9159129045069692,0.21515710039773212
6,10,2623.027068196564,2.623027068196564,0.6161752885900549
7,43,10609.297936906394,10.609297936906394,2.492230178358681
8,1,217.8845150617628,0.2178845150617628,0.051183251433158654
9,4,1354.3036035114087,1.3543036035114089,0.318139459500865
10,1,5.06575828607403,0.005065758286074,0.00118999727898155
11,0,0.0,0.0,0.0
12,0,0.0,0.0,0.0
13,0,0.0,0.0,0.0
14,0,0.0,0.0,0.0
15,65,18694.508616135136,18.69450861613513,4.391527019016305
16,18,3952.25276281333,3.95225276281333,0.9284236965124795
17,3,613.2015077002336,0.6132015077002336,0.14404716617386187
18,31,4979.244293196496,4.979244293196496,1.169674276914789
19,5,907.3005401129936,0.9073005401129935,0.21313396987794328
20,8,1738.7743144425258,1.7387743144425258,0.4084554742056937
21,51,12519.586263198731,12.51958626319873,2.940976009088014
22,48,12638.170623526155,12.638170623526156,2.9688326611725295
23,18,6419.065446148316,6.419065446148316,1.5079026639547013
24,21,6771.384247850747,6.771384247850746,1.5906658736626187
25,16,3846.7163676718274,3.846716367671828,0.9036321419297889
26,3,1412.424321127051,1.4124243211270509,0.33179259727595556
27,2,334.2482932257966,0.3342482932257966,0.07851826656167182
28,1,197.01024335906064,0.1970102433590606,0.04627967626747686
29,0,0.0,0.0,0.0
30,0,0.0,0.0,0.0
31,0,0.0,0.0,0.0
32,0,0.0,0.0,0.0
33,0,0.0,0.0,0.0
34,0,0.0,0.0,0.0
35,0,0.0,0.0,0.0
36,12,3477.9634530443213,3.477963453044321,0.8170083947546416
37,79,24847.049888056048,24.84704988805605,5.836820489203246
38,93,23603.260608251967,23.60326060825197,5.54464194948447
39,41,13390.10450588758,13.39010450588758,3.1454694494780515
40,25,9474.857186084588,9.474857186084588,2.2257387015831305
41,63,16697.841329152525,16.697841329152524,3.9224899066312195
42,73,19500.40288623717,19.500402886237172,4.580839642005975
43,24,5415.525049800727,5.415525049800727,1.2721609894486887
44,17,5044.026234350079,5.044026234350079,1.184892202711177
45,65,18798.629122973027,18.798629122973026,4.415985967277594
46,27,8151.458259011333,8.151458259011333,1.9148590596243522
47,53,15236.881952140922,15.236881952140925,3.5792959393774244
48,142,36797.42016356634,36.79742016356634,8.64408197062337
49,64,19730.48837717865,19.73048837717865,4.634889024683037
50,29,9563.7891822957,9.5637891822957,2.246629716813083
51,24,8987.645305130618,8.987645305130618,2.1112877586282335
52,34,8025.82742833955,8.02582742833955,1.8853471211912438
53,41,6873.614929868716,6.873614929868716,1.6146808831754602
54,12,1735.7101734276312,1.7357101734276312,0.4077356768398849
55,1,284.8228512396962,0.2848228512396962,0.06690773598471703
56,0,0.0,0.0,0.0
57,0,0.0,0.0,0.0
58,0,0.0,0.0,0.0
59,0,0.0,0.0,0.0
60,0,0.0,0.0,0.0
61,0,0.0,0.0,0.0
62,0,0.0,0.0,0.0
63,9,1738.9059597896166,1.7389059597896166,0.40848639901417877
64,37,15379.554764445753,15.379554764445754,3.6128112097159524
65,80,22292.39721811596,22.29239721811596,5.23670703050762
66,58,14037.137967637596,14.037137967637596,3.2974640799777477
67,78,26468.27232095945,26.46827232095945,6.217661850916585
68,120,42613.37218111885,42.613372181118855,10.01030725906663
69,136,43649.38279170609,43.64938279170609,10.253676511599679
70,199,68214.78940794473,68.21478940794474,16.024336179820295
71,360,80634.00326568348,80.63400326568348,18.941733707141704
72,188,56383.31998078606,56.383319980786055,13.245005696686453
73,85,33316.06897879621,33.31606897879621,7.826277763809018
74,61,19563.06446198299,19.56306446198299,4.595559472764425
75,42,13666.490246273765,13.666490246273764,3.21039522375217
76,36,13989.13790233343,13.98913790233343,3.2861883846371462
77,57,18217.23920289404,18.21723920289404,4.279411661151839
78,110,42241.893869050415,42.241893869050415,9.923043288778633
79,136,32526.50269135752,32.52650269135752,7.640800747226796
80,84,22007.13018986887,22.007130189868867,5.169694952902096
81,111,31082.04211283897,31.082042112838973,7.301482512727004
82,62,21454.619742694664,21.454619742694664,5.039904723756403
83,51,18360.32743290345,18.36032743290345,4.31302451726335
84,38,16087.03209790458,16.08703209790458,3.779004710118765
85,51,13639.546920667486,13.639546920667486,3.2040659671339995
86,40,14674.726718029357,14.674726718029357,3.4472400533322762
87,14,6480.416809022444,6.480416809022444,1.5223147126074623
88,7,2291.7078012906795,2.29170780129068,0.5383450796011936
89,0,0.0,0.0,0.0
90,0,0.0,0.0,0.0
91,0,0.0,0.0,0.0
92,0,0.0,0.0,0.0
93,0,0.0,0.0,0.0
94,0,0.0,0.0,0.0
95,0,0.0,0.0,0.0
96,0,0.0,0.0,0.0
97,107,28301.41150372712,28.30141150372712,6.648284576340537
98,168,36475.44563694333,36.47544563694333,8.568446934574359
99,93,30476.165904052075,30.476165904052078,7.159156132520873
100,134,41413.34933050746,41.41334933050746,9.728409891229507
101,126,52307.46272486011,52.30746272486011,12.287546068696889
102,213,72335.457115394,72.33545711539401,16.992322230977205
103,153,62581.54081663194,62.58154081663194,14.70102975323501
104,214,67166.10053477992,67.16610053477993,15.777988676625153
105,183,56933.46197905043,56.93346197905043,13.374239553498736
106,158,49297.36076245216,49.29736076245216,11.580443016707637
107,75,29345.09191146696,29.34509191146696,6.893455540922703
