osm_id,name,fclass,grid_id,length_m,length_km
234998940,,residential,2226,720.9089968296563,0.720908996829656
234998941,,residential,2285,225.9657144346283,0.225965714434628
234998941,,residential,2286,225.9657144346283,0.225965714434628
234998942,,residential,2286,593.8613310887181,0.593861331088718
234998942,,residential,2226,593.8613310887181,0.593861331088718
234998943,,residential,2286,309.4568290312576,0.309456829031258
234998943,,residential,2226,309.4568290312576,0.309456829031258
234998943,,residential,2227,309.4568290312576,0.309456829031258
234998944,,residential,2346,321.2340048102746,0.321234004810275
234998946,,residential,2168,145.65529161404518,0.145655291614045
234998948,,residential,2346,138.24979366654475,0.138249793666545
234998948,,residential,2406,138.24979366654475,0.138249793666545
234998949,,residential,2286,229.6671811576986,0.229667181157699
234998949,,residential,2287,229.6671811576986,0.229667181157699
234998992,,residential,2226,197.2437346403461,0.197243734640346
234998992,,residential,2169,197.2437346403461,0.197243734640346
234999269,东窑坊,unclassified,1541,261.45368441201265,0.261453684412013
234999269,东窑坊,unclassified,1484,261.45368441201265,0.261453684412013
234999269,东窑坊,unclassified,1542,261.45368441201265,0.261453684412013
234999270,,service,1831,238.67740646623145,0.238677406466231
234999271,长缨北路,unclassified,1714,723.5732979730102,0.72357329797301
234999271,长缨北路,unclassified,1715,723.5732979730102,0.72357329797301
234999273,迎祥坊,tertiary,1654,313.707750274576,0.313707750274576
234999273,迎祥坊,tertiary,1711,313.707750274576,0.313707750274576
234999275,,tertiary,1599,363.4525182394409,0.363452518239441
234999275,,tertiary,1656,363.4525182394409,0.363452518239441
234999277,红华巷,residential,1597,633.4287691308887,0.633428769130889
234999277,红华巷,residential,1541,633.4287691308887,0.633428769130889
234999277,红华巷,residential,1542,633.4287691308887,0.633428769130889
234999707,万庆巷,unclassified,1372,320.2062681274048,0.320206268127405
234999707,万庆巷,unclassified,1373,320.2062681274048,0.320206268127405
234999708,窦府巷,unclassified,1428,233.76562685162077,0.233765626851621
234999709,景龙池,tertiary,1427,272.88379884141887,0.272883798841419
234999709,景龙池,tertiary,1428,272.88379884141887,0.272883798841419
234999712,,residential,1374,889.9096447860412,0.889909644786041
234999712,,residential,1375,889.9096447860412,0.889909644786041
234999712,,residential,1376,889.9096447860412,0.889909644786041
235000070,,primary_link,1322,115.93906586026904,0.115939065860269
235000508,,primary_link,1320,274.81276052423937,0.274812760524239
235001188,西何家村,tertiary,914,808.4383528801552,0.808438352880155
235001188,西何家村,tertiary,816,808.4383528801552,0.808438352880155
235001188,西何家村,tertiary,864,808.4383528801552,0.808438352880155
235001456,,residential,671,366.799473850346,0.366799473850346
235001456,,residential,718,366.799473850346,0.366799473850346
235001456,,residential,719,366.799473850346,0.366799473850346
235001457,敦义路,residential,671,471.5516021827729,0.471551602182773
235001458,,service,718,162.0872599612462,0.162087259961246
235001458,,service,719,162.0872599612462,0.162087259961246
235002631,,residential,670,382.65478463808677,0.382654784638087
235002631,,residential,718,382.65478463808677,0.382654784638087
235002633,,residential,717,587.8045609870985,0.587804560987099
235002633,,residential,718,587.8045609870985,0.587804560987099
235002635,科技一路,tertiary,622,2647.250506109364,2.647250506109364
235002635,科技一路,tertiary,623,2647.250506109364,2.647250506109364
235002635,科技一路,tertiary,526,2647.250506109364,2.647250506109364
235002635,科技一路,tertiary,575,2647.250506109364,2.647250506109364
235002635,科技一路,tertiary,430,2647.250506109364,2.647250506109364
235002635,科技一路,tertiary,385,2647.250506109364,2.647250506109364
235002635,科技一路,tertiary,477,2647.250506109364,2.647250506109364
235098838,博学路,living_street,1056,195.3211710119118,0.195321171011912
235099237,陕公路,living_street,1007,266.47391622260324,0.266473916222603
235099238,,service,1007,166.9238873968529,0.166923887396853
235099239,民大路,living_street,958,300.23178495768434,0.300231784957684
