grid_id,total_length_m,total_length_km,density_km_per_km2
1,5213.426033266618,5.213426033266618,20.853704133066472
2,7553.417693004945,7.5534176930049455,30.213670772019782
3,12929.938236178019,12.92993823617802,51.71975294471208
4,1563.072786568218,1.563072786568218,6.252291146272872
5,1152.2912746809209,1.1522912746809209,4.609165098723683
6,3575.2538186275424,3.575253818627542,14.301015274510169
7,7966.105145371284,7.966105145371285,31.86442058148514
8,4677.048425590017,4.6770484255900175,18.70819370236007
9,743.1813515890791,0.743181351589079,2.972725406356316
10,3393.301483095023,3.3933014830950228,13.573205932380091
11,7799.582824402376,7.799582824402376,31.198331297609503
12,13971.650722753202,13.971650722753202,55.88660289101281
13,17984.694423988967,17.984694423988966,71.93877769595586
14,14218.746891734807,14.218746891734806,56.874987566939225
15,14633.877237100476,14.633877237100476,58.535508948401905
16,1696.1689739753726,1.6961689739753727,6.784675895901491
17,7000.070670721827,7.0000706707218265,28.000282682887306
18,5892.47186266885,5.89247186266885,23.5698874506754
19,3569.8140838553827,3.5698140838553827,14.27925633542153
20,4348.667751878156,4.348667751878156,17.394671007512624
21,12848.538344047733,12.848538344047732,51.39415337619093
22,9664.766748511887,9.664766748511887,38.65906699404755
23,4289.392498593353,4.289392498593353,17.15756999437341
24,1972.8716540227447,1.9728716540227447,7.891486616090979
25,4210.043312206675,4.210043312206675,16.8401732488267
26,9990.937507981109,9.990937507981108,39.963750031924434
27,10913.487381541741,10.913487381541742,43.65394952616697
28,6703.527029689252,6.703527029689252,26.81410811875701
29,17999.572231191112,17.999572231191113,71.99828892476445
30,10846.93765345503,10.846937653455031,43.387750613820124
31,4578.89192473378,4.57889192473378,18.31556769893512
32,5081.914342871076,5.081914342871076,20.327657371484303
33,8848.673523436828,8.848673523436828,35.39469409374731
34,15283.229508755476,15.283229508755475,61.1329180350219
35,1070.2297701757225,1.0702297701757224,4.28091908070289
36,11567.713400393768,11.567713400393767,46.27085360157507
37,26633.455774904898,26.6334557749049,106.5338230996196
38,5032.77037429343,5.03277037429343,20.13108149717372
39,19125.502579826818,19.12550257982682,76.50201031930727
40,6107.571994469902,6.107571994469902,24.43028797787961
41,16622.717018297404,16.622717018297404,66.49086807318962
42,2855.815798664756,2.8558157986647563,11.423263194659025
43,7382.26941938538,7.382269419385381,29.529077677541522
44,14732.873500073763,14.732873500073763,58.931494000295054
45,14304.072716084127,14.304072716084127,57.21629086433651
46,13825.337686963147,13.825337686963147,55.30135074785259
47,16591.281682293073,16.591281682293072,66.36512672917229
48,26117.644947220364,26.117644947220363,104.47057978888145
49,5706.531304052874,5.706531304052874,22.826125216211494
50,3478.809801146593,3.478809801146593,13.915239204586372
51,8658.112294814795,8.658112294814796,34.63244917925918
52,10107.87880652488,10.107878806524878,40.43151522609951
53,15006.082573430669,15.00608257343067,60.02433029372268
54,16483.568204316198,16.4835682043162,65.9342728172648
55,8770.100683527902,8.770100683527902,35.08040273411161
56,12507.781703010454,12.507781703010455,50.03112681204182
57,17278.496334493993,17.278496334493994,69.11398533797598
58,4138.000143350959,4.138000143350959,16.552000573403834
59,2251.1279041150647,2.2511279041150645,9.004511616460258
60,1590.9628287640735,1.5909628287640736,6.363851315056294
61,6591.827546573506,6.591827546573506,26.367310186294024
62,8905.332632153508,8.905332632153508,35.62133052861403
63,7932.906416785757,7.932906416785757,31.731625667143028
64,11323.48462007944,11.32348462007944,45.29393848031776
65,8295.80110323067,8.29580110323067,33.18320441292268
66,11209.469558636865,11.209469558636865,44.83787823454746
67,21934.630110248196,21.934630110248197,87.73852044099279
68,16165.947298721258,16.165947298721257,64.66378919488503
69,13391.108786878242,13.391108786878242,53.56443514751297
70,2046.2414156892553,2.046241415689255,8.18496566275702
71,20815.410486691966,20.815410486691967,83.26164194676787
72,11919.80821543322,11.919808215433221,47.679232861732885
73,18266.515679924163,18.26651567992416,73.06606271969665
74,15182.529326054759,15.182529326054759,60.730117304219036
75,11256.416541549599,11.2564165415496,45.0256661661984
76,15932.621638053392,15.93262163805339,63.73048655221356
77,13518.697275961957,13.518697275961957,54.07478910384783
78,4341.334075170587,4.341334075170587,17.365336300682348
79,3099.1827006677777,3.099182700667778,12.396730802671112
80,7058.067423120015,7.058067423120015,28.23226969248006
