grid_id,碳排放_carbon_emission_kg (kgCO2/KM/d),人口密度 (千人/km²),休闲POI数量 (个),办公POI数量 (个),公共服务POI数量 (个),交通设施POI数量 (个),居住POI数量 (个),道路密度 (KM/KM²),地铁站点数量 (个),公交站点数量 (个),标准化土地混合熵,到市中心距离 (km),到最近公交距离 (km)
83,1.963744285,0.918,32,14,53,9,1,43.2796677,0,0,0.759887352,12.7246994,1.122224639
84,3.156006537,0.918,5,15,23,6,3,28.64403824,0,0,0.843987562,12.8903287,1.607295653
85,3.065616652,0.918,39,7,29,4,0,26.2368076,0,0,0.672373656,13.07299405,2.09938336
86,1.905013185,0.918,61,11,32,13,2,77.06400637,0,0,0.762003895,13.27199204,2.594498346
87,0.418468837,0.918,0,22,5,5,0,68.75848192,0,0,0.520489086,13.48659973,3.091186317
88,0.468775353,0.918,0,6,8,8,3,38.42487396,0,0,0.824000405,13.71608441,2.980209922
89,0,0.867,14,24,17,19,5,61.23949161,0,0,0.942306564,13.95971242,2.512414724
90,0,0.867,17,4,10,7,2,85.17541345,0,0,0.866946421,14.21675667,2.044629694
91,0,0.867,0,3,0,1,1,66.42327118,0,0,0.590436283,14.48650301,1.596494104
92,0,0.867,0,3,1,4,0,41.010305,0,0,0.605375793,14.76825545,1.190410124
93,0,1.046,2,1,0,0,0,38.29257977,0,0,0.395488489,15.06134019,0.886204887
94,0,1.046,0,0,0,2,0,76.29126503,0,0,0,15.36510877,0.808481255
95,0,1.046,0,0,1,0,0,50.19155597,0,0,0,15.67894024,0.975061355
96,0.063283043,1.046,2,2,1,9,0,65.15047912,0,0,0.639051532,14.0806069,3.010898243
97,5.57033699,1.48,28,47,20,12,8,56.58461357,0,0,0.891693831,13.04737093,1.563967018
98,8.226462388,1.48,29,9,13,10,3,49.72026093,1,0,0.864780638,12.82483869,1.316067785
99,4.558315671,1.48,2,0,3,7,2,57.71472649,0,0,0.765884335,12.61820458,1.232102267
100,5.607514724,1.48,5,1,9,9,2,71.70980778,0,0,0.853785502,12.42826159,0.954956666
101,4.474620674,0.779,0,2,0,2,5,47.36679338,0,0,0.61824503,12.2557858,0.712690109
102,7.030694845,0.779,6,6,2,5,2,91.35008541,0,0,0.935377709,12.10152408,0.777117847
103,3.640574917,0.779,25,7,11,9,8,47.34167177,0,0,0.919368649,11.96618086,0.912613001
104,4.675647719,0.779,11,15,17,5,2,16.24858196,0,0,0.882363189,11.85040437,1.183959925
105,4.764059914,0.779,56,9,42,26,9,78.12688968,1,0,0.862277557,11.75477278,1.397704945
106,3.973322466,0.779,46,26,18,6,2,27.41823597,0,0,0.78830447,11.67978092,0.987810652
107,2.544757013,0.779,1,6,8,3,0,22.4951071,0,0,0.736791586,11.62582822,0.705663273
108,3.570819692,0.779,66,18,46,15,8,19.51615131,0,0,0.843631956,11.59320841,0.713424
109,2.971804109,1.097,96,31,63,12,15,9.346192688,0,0,0.834219675,11.58210173,0.696059086
110,4.357496516,1.097,91,29,52,8,8,24.83318418,0,0,0.785180814,11.59257003,0.979807481
111,3.666292943,1.097,17,1,5,0,3,18.56154867,0,0,0.602285205,11.62455501,0.963224718
112,5.298953393,1.097,51,12,36,21,12,25.77392005,0,0,0.901064318,11.67787988,0.579545198
113,13.98197464,0.969,718,87,331,68,208,40.9315591,1,2,0.797713859,11.75225416,0.153609505
114,8.117455351,0.969,147,38,88,34,19,49.28428002,0,0,0.84787526,11.84728143,0.397430124
115,3.431860705,0.969,3,2,0,5,3,21.4842022,0,0,0.827770312,11.9624695,0.663852005
116,2.702564514,0.969,0,9,3,0,0,3.763560548,0,0,0.34939847,12.0972425,1.005376315
117,2.040131254,1.02,23,25,32,9,1,13.02954414,0,0,0.840293625,12.25095406,1.354545204
118,1.013835643,1.02,1,6,2,1,0,20.26367499,0,0,0.676571595,12.42290122,1.777302418
119,1.723148872,1.02,11,7,8,0,1,5.761988606,0,0,0.744539761,12.61233817,2.232222001
120,1.203718947,1.02,26,23,36,12,9,22.9667807,0,0,0.931399146,12.81848951,2.703114174
121,0.524571895,1.02,1,11,10,4,0,42.23687893,0,0,0.711252462,13.04056259,3.182897644
122,0.743538695,1.02,2,21,8,4,1,4.411665765,0,0,0.716342335,13.27775855,2.995298167
123,0.08479592,1.02,75,24,61,6,10,35.46990067,0,0,0.795663757,13.529282,2.529047687
124,0.048141062,1.02,5,12,12,6,0,7.148642169,0,0,0.816641385,13.79434924,2.078545958
125,0,1.02,0,1,0,2,0,22.20262489,0,0,0.395488489,14.07219493,1.656690797
126,0,1.02,1,2,1,6,0,4.916505921,0,0,0.676571595,14.36207748,1.291857381
127,0,1.02,0,1,0,0,0,7.2577827,0,0,0,14.66328302,0.940446439
128,0,1.02,0,0,1,0,0,46.79391512,0,0,0,14.97512832,0.559765483
129,0,1.02,1,1,4,0,1,29.6745664,0,0,0.716860174,15.29696269,0.492174041
130,3.493783161,1.02,61,3,18,19,11,52.20174856,0,0,0.777028436,13.67228552,2.511890019
131,11.5908425,1.02,0,2,0,2,0,37.98646759,0,0,0.430676558,13.38558892,2.521908352
132,18.78112017,1.02,52,41,6,21,7,53.38053334,0,0,0.827714674,13.11169669,2.095789747
133,26.89363778,1.02,27,90,20,24,14,83.65209169,0,0,0.840514702,12.85142753,1.636574546
134,25.36109993,1.02,16,22,9,13,8,97.21732955,0,0,0.957653257,12.60562528,1.210131326
135,27.66368938,1.02,15,5,18,16,6,110.0962744,0,0,0.930491141,12.37515205,0.866290602
136,15.2583951,1.02,3,1,4,11,2,136.945204,0,0,0.808647136,12.16087939,0.732462277
137,10.49336802,1.326,3,1,1,6,3,124.6918766,0,0,0.870071822,11.96367782,0.68270983
138,12.1658683,1.326,29,4,21,8,4,100.6512925,1,1,0.820960204,11.78440437,0.249153906
139,11.46819978,1.326,48,54,42,24,11,129.1559891,0,0,0.92918039,11.62388858,0.298682462
140,6.026540373,1.326,8,1,2,3,6,74.2009523,0,0,0.865097836,11.48291709,0.47726297
141,5.718347951,1.428,0,7,4,2,1,73.14420321,0,0,0.727581423,11.3622174,0.886529345
142,4.094462312,1.428,3,6,3,7,3,124.5795575,0,0,0.953000572,11.26244128,1.239233302
143,1.999146359,1.428,45,1,30,8,12,89.87058675,0,0,0.766230764,11.18414874,0.746920308
144,1.389589592,1.428,24,10,1,11,0,64.94597136,0,1,0.681327705,11.12779324,0.282985367
145,3.091374382,1.02,183,20,30,12,2,109.6139313,0,1,0.539145685,11.09370911,0.278677367
146,4.107425249,1.02,23,16,42,21,9,94.72612898,0,1,0.926897097,11.08210184,0.275657525
147,6.606111829,1.02,69,17,52,12,3,83.3811976,0,0,0.774677295,11.09304198,0.742638216
148,10.47794809,1.02,91,20,41,9,5,25.59373649,0,0,0.741516258,11.12646304,0.517588874
149,20.17989896,0.969,105,9,69,19,21,15.82853209,0,0,0.794990488,11.18216344,0.449293436
150,18.12768269,0.969,97,13,49,15,13,10.66136121,0,2,0.785678741,11.25981255,0.210344026
151,3.67973806,0.969,22,1,15,10,10,29.32143233,0,0,0.865908496,11.35896025,0.54555691
152,0.789458089,0.969,3,3,3,4,2,15.27497818,0,0,0.985924772,11.47904949,0.974163757
153,1.240749261,0.969,1,1,2,1,3,10.75664473,0,0,0.928383212,11.61943099,1.36427287
154,0.625822261,0.969,46,21,35,7,7,21.64831224,0,0,0.855321436,11.77937927,1.705930034
155,0.104315468,0.969,2,15,4,4,3,19.32923672,0,0,0.819019016,11.95810919,2.057719237
156,0.625349859,0.969,0,1,3,0,0,2.993058351,0,0,0.34939847,12.15479225,2.461345086
157,0.910455858,0.969,11,17,27,9,4,20.07189029,0,0,0.896159189,12.36857203,2.89520825
158,0.312848266,0.969,0,0,0,0,0,3.637378537,0,0,0,12.59857823,3.347572551
159,0.542100473,0.969,1,9,4,1,0,5.04010435,0,0,0.633784597,12.84393915,2.868501092
160,0.11949895,0.969,15,21,44,7,3,24.9369441,0,0,0.807774037,13.10379228,2.377513326
161,0,0.778,1,2,6,0,0,,0,0,0.527317985,13.37729313,1.89125374
162,0,0.778,2,4,2,0,2,22.15828428,0,0,0.827729377,13.66362217,1.41460659
163,0,0.778,0,2,0,0,0,11.54274308,0,0,0,13.9619902,0.961968243
164,0,0.778,0,1,0,1,0,33.94380455,0,0,0.430676558,14.27164215,0.59131548
165,0,0.638,0,1,0,2,0,18.68478895,0,0,0.395488489,14.59185968,0.311423314
166,0,0.638,0,0,0,6,0,29.57659297,0,2,0,14.92196261,0.183646206
167,11.28931448,0.638,91,8,69,36,20,136.8020038,0,0,0.843268817,13.57780147,2.032375125
168,21.85687883,0.638,134,10,59,32,23,113.2915345,1,0,0.79408667,13.27024084,2.01337396
169,36.2037703,0.868,0,1,4,3,2,122.7947859,0,0,0.795218142,12.97466344,2.025802235
170,24.06145479,0.868,0,1,2,3,0,103.1317111,0,0,0.628420803,12.69190651,1.977564071
171,27.14497124,0.868,0,0,0,2,0,65.88686205,0,0,0,12.42284549,1.482161002
172,23.6763116,0.868,1,1,0,3,1,33.86068072,0,0,0.771979655,12.16838894,0.991384293
173,21.93901329,0.46,28,2,22,8,7,38.35905744,0,0,0.823190403,11.92947144,0.518540643
174,18.41550877,0.46,84,9,73,25,5,80.40189551,0,1,0.763431116,11.70704438,0.234362924
175,15.59885387,0.46,17,8,23,16,8,48.55568073,0,0,0.949317648,11.50206449,0.435899911
176,16.19759487,0.46,14,2,4,6,2,65.41962413,1,3,0.827409557,11.31547997,0.19337458
177,7.866274976,0.6,106,8,65,23,4,134.4028332,0,9,0.716603368,11.14821449,0.083032448
178,3.618369782,0.6,193,31,51,25,4,56.64801979,0,2,0.673010852,11.00114929,0.216042535
179,3.797217365,0.6,402,54,36,17,5,43.69950504,0,0,0.480271816,10.87510391,0.566833119
180,4.218433799,0.6,135,40,38,18,16,85.22306689,0,0,0.796001142,10.77081633,0.840245484
181,3.048766254,0.74,29,19,29,17,7,48.11050145,0,0,0.941806425,10.68892341,0.649912953
182,2.969908227,0.74,2,1,4,2,2,12.4516161,0,0,0.941762301,10.62994276,0.402741581
183,3.282742962,0.74,18,7,10,2,0,35.81130441,0,2,0.731223136,10.59425705,0.237928103
184,4.444667876,0.74,20,7,18,10,5,21.09094358,0,0,0.921904933,10.58210195,0.317947163
185,5.607933632,0.829,36,0,26,15,8,74.75450749,0,0,0.779606337,10.59355847,0.440737171
186,7.983397723,0.829,65,3,27,11,3,85.72040752,0,0,0.673011928,10.62855025,0.292292511
187,8.484464665,0.829,21,4,10,9,3,98.20394574,0,2,0.864317607,10.68684611,0.204843784
188,6.120743503,0.829,36,4,35,19,4,116.1803093,0,6,0.816917563,10.76806757,0.058935685
189,3.51507782,0.918,18,13,12,9,6,63.03874897,0,0,0.961892935,10.87170081,0.519302807
190,1.789437729,0.918,181,15,88,27,19,31.56663122,0,0,0.740356884,10.99711225,1.002854237
191,1.96971687,0.918,190,9,45,31,18,20.53584064,0,0,0.673927592,11.14356663,1.497250091
192,1.017284759,0.918,199,23,93,28,20,26.89419165,0,0,0.752168006,11.31024653,1.99444204
193,0.314650319,1.428,73,10,37,12,14,17.73846338,0,0,0.812874329,11.49627226,2.410313886
194,0.536487584,1.428,22,6,17,13,1,12.53999209,0,0,0.845776382,11.70072115,2.76290141
195,0.764563959,1.428,68,14,48,16,5,39.80532156,0,0,0.804483369,11.92264546,3.155572116
196,0.134366002,1.428,11,22,15,19,2,11.13353702,0,0,0.898884159,12.16108852,3.325735231
197,0.614588471,1.479,88,8,35,20,8,9.730019598,0,0,0.759385538,12.41509861,2.825736351
198,0.014469908,1.479,58,17,49,19,9,36.55494326,0,0,0.872897758,12.68374049,2.325737952
199,0,1.479,0,0,0,0,0,3.724182792,0,0,0,12.96610474,1.82574043
200,0.003121247,1.479,11,2,3,0,7,40.89607591,0,0,0.741171984,13.26131485,1.325744777
201,0,1.53,0,0,0,0,0,30.4952873,0,0,0,13.56853238,0.825754388
202,0,1.53,0,3,2,0,1,11.28844308,0,0,0.628420803,13.88696044,0.325793501
203,0,1.53,0,3,2,7,0,20.49941225,0,3,0.596242195,14.21584572,0.107439157
204,0,1.53,0,1,0,3,1,30.97781749,0,2,0.590436283,14.55447934,0.159310657
205,1.02115068,1.02,7,33,6,24,9,82.90916968,0,0,0.86028454,13.85782792,2.007082403
206,5.242178018,1.02,1,5,4,10,1,48.0483547,0,0,0.8082311,13.51968912,1.717994711
207,19.500945,1.02,177,16,88,20,26,38.75904017,0,0,0.748919999,13.19183813,1.540984063
208,31.98465049,1.02,228,38,166,39,28,48.53386836,0,0,0.795907341,12.87506088,1.515835722
209,27.46959597,1.02,36,6,29,32,7,115.9060154,0,0,0.876190159,12.57019459,1.532229635
210,9.755665295,1.02,2,1,5,5,1,60.67923888,0,0,0.863927576,12.27812654,1.696832106
211,9.422452575,1.02,0,2,1,4,4,61.8542789,0,0,0.785152644,11.99979128,1.488363607
212,12.2199386,1.02,0,1,1,4,1,73.55392474,0,0,0.716860174,11.7361659,1.000633704
213,18.40523207,0.816,0,0,0,1,0,84.85542772,0,0,0,11.48826312,0.536012491
214,19.34671812,0.816,25,3,21,13,4,86.07413965,0,0,0.846568756,11.25712169,0.270833846
215,22.75363496,0.816,31,3,15,14,3,25.1937055,0,4,0.808718068,11.0437941,0.048435596
216,35.80982798,0.816,2,3,7,7,0,98.30273894,0,3,0.785480744,10.8493312,0.015036675
217,13.41160662,0.816,0,2,5,5,3,83.62728957,1,5,0.821994748,10.67476402,0.080251768
218,8.338530347,0.816,83,10,54,13,6,63.07886953,0,1,0.745977397,10.52108294,0.255932763
219,5.79599647,0.816,65,10,21,13,3,40.25242906,0,0,0.740807104,10.38921487,0.461827625
220,5.906620406,0.816,13,11,4,15,1,143.9938719,0,0,0.855990881,10.27999927,0.364838886
221,5.315170156,0.778,59,13,26,15,13,28.31478052,0,2,0.871727315,10.19416423,0.159020768
222,2.239439491,0.778,25,1,16,10,6,3.60274905,0,0,0.823761268,10.13230397,0.441488685
223,3.005504715,0.778,88,7,57,39,6,19.25758962,0,3,0.78559678,10.09485924,0.186731787
224,3.859653213,0.778,328,64,104,29,13,18.76415357,0,2,0.695916319,10.08210208,0.262872235
225,5.586606329,0.74,32,4,16,9,8,6.701878397,0,0,0.854854659,10.0941261,0.352815553
226,4.179019175,0.74,119,25,53,9,19,17.86537345,0,0,0.782302563,10.13084306,0.544421179
227,5.55988256,0.74,40,37,30,19,7,33.64547535,0,2,0.923386215,10.19198609,0.139646958
228,3.219430213,0.74,33,18,42,22,10,51.00471034,0,1,0.935068651,10.27711924,0.277762787
229,3.685380739,1.148,2,7,5,2,2,59.66452422,0,0,0.904361556,10.38565256,0.631895181
230,5.920148305,1.148,13,6,15,10,7,78.28395007,0,0,0.964412131,10.51686163,1.082818002
231,3.462612732,1.148,8,4,15,8,1,83.43178744,0,0,0.855538278,10.66990993,1.563872799
232,1.668543758,1.148,11,11,23,9,4,75.83731788,0,0,0.913956189,10.8438728,2.053996455
233,1.156120092,1.008,30,10,14,14,4,92.12161147,0,0,0.892473466,11.03776139,2.5479609
234,0.882607025,1.008,67,25,5,3,2,57.73100563,0,0,0.589851559,11.25054559,3.043896853
235,0.76426745,1.008,30,10,25,16,7,45.17982208,0,0,0.921335077,11.48117482,3.468867243
236,0.311736765,1.008,19,20,21,26,4,18.26688804,0,0,0.93154141,11.72859645,3.364075243
237,0.458754697,0.919,68,16,34,18,8,42.08886874,0,0,0.844871783,11.9917711,2.870761804
238,0,0.919,11,5,5,2,1,42.58236421,0,0,0.839210442,12.26968514,2.380240414
239,0,0.919,10,6,6,7,0,25.44108518,0,0,0.846370524,12.56136031,1.894680851
240,0.075001346,0.919,1,5,5,0,1,58.71830713,0,0,0.710625977,12.86586072,1.419185196
241,0.030204215,0.779,11,4,12,9,2,27.13721708,0,0,0.904631834,13.18229766,0.953211865
242,0,0.779,0,2,1,0,0,1.780895433,0,0,0.395488489,13.50983238,0.454343048
243,0,0.779,0,2,0,1,1,66.78543551,0,1,0.646014837,13.84767743,0.065133329
244,0,0.779,2,2,1,2,1,131.278111,0,0,0.969022256,14.19509667,0.257544473
245,0,0.69,0,0,0,0,0,17.8501708,0,0,0,14.55140436,0.375557187
246,1.977724639,0.69,29,18,15,21,3,49.6969521,0,0,0.907033665,13.85513247,1.932787409
247,5.456435486,0.69,0,39,2,21,3,62.27916358,0,0,0.572002527,13.49841825,1.665071472
248,16.70112224,0.69,13,46,21,23,14,40.33666302,0,0,0.927830237,13.15104158,1.302147865
249,28.463593,0.69,88,70,21,73,20,40.95870547,1,0,0.905332284,12.8137619,1.057693299
250,17.99830584,0.69,9,40,23,44,13,74.44528209,0,0,0.903683729,12.48739738,1.020706211
251,10.36902533,0.69,21,31,13,36,11,75.10992992,0,0,0.939521817,12.17282599,1.044787354
252,5.790734337,0.69,1,3,2,5,1,32.49188007,0,0,0.884861669,11.8709853,1.27400634
253,6.695820726,0.46,1,2,4,6,1,16.6207956,0,0,0.854991221,11.5828706,1.402724963
254,5.693231722,0.46,2,2,0,6,2,47.84451119,0,0,0.771979655,11.30953097,1.232758209
255,8.015264405,0.46,3,1,0,3,3,20.35098393,0,0,0.816330983,11.05206271,0.884692281
256,8.466295644,0.46,2,0,5,1,0,72.69636471,0,0,0.559360535,10.81159976,0.515218131
257,8.127958992,0.74,0,0,2,3,1,7.407918038,0,0,0.628420803,10.58930068,0.470632957
258,14.35593581,0.74,5,4,15,12,3,78.83960538,0,0,0.885020997,10.3863318,0.317282012
259,14.86942134,0.74,24,5,14,11,6,33.68794231,0,3,0.903690083,10.2038467,0.166970821
260,9.759560848,0.74,77,13,67,23,12,46.13931506,0,2,0.834828531,10.04296206,0.160768739
261,8.346355959,1.02,1,2,4,5,2,32.8950159,0,0,0.913444321,9.904730498,0.374672784
262,11.45303135,1.02,90,8,7,7,1,75.25012723,1,1,0.469210582,9.790111623,0.245361677
263,8.013617168,1.02,85,9,19,11,3,57.41518091,0,3,0.64674781,9.699942523,0.13998385
264,4.479619866,1.02,58,6,18,3,2,44.90697783,0,1,0.611114561,9.634909668,0.234302806
265,5.801065289,1.02,192,24,71,22,17,38.90070608,1,3,0.728064097,9.595524147,0.230816011
266,8.279091835,1.02,85,13,58,30,16,32.33149671,0,3,0.859402616,9.582102223,0.062233404
267,7.677980818,1.02,21,14,13,10,7,13.92335331,0,0,0.960314581,9.594752857,0.335229854
268,9.745856233,1.02,73,24,36,23,11,37.00105114,0,3,0.88448419,9.633373331,0.164538265
269,7.249928482,1.02,102,16,154,33,26,35.18907841,1,2,0.804556612,9.697653381,0.117109265
270,2.089986437,1.02,86,65,404,8,2,25.80107909,0,0,0.531493269,9.787087435,0.577491676
271,1.395164305,1.02,0,0,0,0,0,24.14807934,0,0,0,9.90099388,0.984697834
272,1.145677314,1.02,1,0,0,0,0,25.82976409,0,0,0,10.03853969,1.332975966
273,1.062033478,1.02,0,1,1,0,0,27.27454096,0,0,0.430676558,10.19876848,1.746433003
274,1.138318748,1.02,0,0,0,1,0,19.83875983,0,0,0,10.38062994,2.19618568
275,0.527914726,1.02,0,0,0,0,0,48.61015976,0,0,0,10.58300889,2.663913446
276,0.814029451,1.02,2,4,5,1,1,37.28874255,0,0,0.877787596,10.8047525,3.141598025
