grid_id,centroid_x,centroid_y,nearest_metro_distance,nearest_metro_name,nearest_bus_distance,nearest_bus_name
1,20962.996616015967,3808520.015138603,1234.3450716791438,后卫寨,600.913710519212,太平路中段
2,20962.996616015967,3809520.015138603,862.9074622463022,沣东自贸园,772.5271472424471,西咸路太平路口
3,20962.996616015967,3810020.015138603,576.0629576731984,沣东自贸园,497.72069867477626,西咸路太平路口
4,21462.996616015967,3808020.015138603,1383.5861499688897,后卫寨,379.11516606494433,征和四路西段
5,21462.996616015967,3808520.015138603,920.7920127852977,后卫寨,849.7636469882179,征和四路西段
6,21462.996616015967,3809020.015138603,530.4764153406492,后卫寨,1176.924839392725,北沙口村南
7,21462.996616015967,3809520.015138603,463.6297268900366,后卫寨,1155.9575761157785,西咸路太平路口
8,21462.996616015967,3810020.015138603,805.2948653006518,后卫寨,992.4982309190002,西咸路太平路口
9,21462.996616015967,3810520.015138603,1105.2960533800867,沣东自贸园,1064.8321740890556,西咸路太平路口
10,21462.996616015967,3811020.015138603,1344.9604486454,沣东自贸园,1335.1712922217525,西咸路太平路口
11,21462.996616015967,3811520.015138603,1701.8101689739885,沣东自贸园,1687.4222968847837,沣东自贸园地铁站
12,21462.996616015967,3812020.015138603,2117.4033848150225,沣东自贸园,2086.582581402785,沣东自贸园地铁站
13,21462.996616015967,3812520.015138603,2563.3252499105442,沣东自贸园,2521.9555368806755,沣东自贸园地铁站
14,21462.996616015967,3813020.015138603,3026.1982056091097,沣东自贸园,2224.4865806630323,公交站_1103
15,21962.996616015967,3802020.015138603,1802.026921829771,西晁,2201.2441388589577,西三环科技西路口
16,21962.996616015967,3802520.015138603,1434.6261258115956,阿房宫南,2222.939656366898,西三环科技西路口
17,21962.996616015967,3807020.015138603,1917.2238117803843,三桥,580.7810144330689,公交站_1440
18,21962.996616015967,3807520.015138603,1672.608486375318,三桥,246.34856430571344,公交站_1440
19,21962.996616015967,3808020.015138603,1318.5449591183246,后卫寨,532.9809035463352,公交站_1440
20,21962.996616015967,3808520.015138603,819.8219963137177,后卫寨,687.3209308458026,西部车城
21,21962.996616015967,3809020.015138603,325.0467690398943,后卫寨,678.6432405140713,北沙口村南
22,21962.996616015967,3809520.015138603,197.99671332307364,后卫寨,885.7583325630461,北沙口村南
23,21962.996616015967,3810020.015138603,687.568174736298,后卫寨,1268.2976778005611,北沙口村南
24,21962.996616015967,3810520.015138603,1185.8740621725688,后卫寨,1539.868307181904,西咸路太平路口
25,21962.996616015967,3811020.015138603,1685.183843904615,后卫寨,1737.817373621619,西咸路太平路口
26,21962.996616015967,3811520.015138603,2049.085025769999,沣东自贸园,2041.7698314597121,西咸路太平路口
27,21962.996616015967,3812020.015138603,2405.4082160077687,沣东自贸园,2393.7886268129832,沣东自贸园地铁站
28,21962.996616015967,3812520.015138603,2805.9272849524305,沣东自贸园,2720.1175511739407,公交站_1103
29,21962.996616015967,3813020.015138603,3234.2645487410823,沣东自贸园,2222.5315273203737,公交站_1103
30,21962.996616015967,3813520.015138603,3680.7209095564685,沣东自贸园,1726.341011405786,公交站_1103
31,21962.996616015967,3814020.015138603,4139.437843095247,沣东自贸园,1233.2316024940608,公交站_1103
32,21962.996616015967,3814520.015138603,4606.754269510354,沣东自贸园,749.3110723315032,公交站_1103
33,21962.996616015967,3815020.015138603,5080.297643096782,沣东自贸园,319.4901889684639,公交站_1103
34,21962.996616015967,3815520.015138603,5558.4767144657135,沣东自贸园,159.67671089779347,公交站_355
35,22462.996616015967,3799520.015138603,1061.2349462484444,省图高新馆,2668.913874225786,化龙三路科技二路口
36,22462.996616015967,3801520.015138603,1339.6418694571416,天谷四路,1817.5921653084613,西三环科技西路口
37,22462.996616015967,3802020.015138603,1303.6870740373517,西晁,1702.8288922784839,西三环科技西路口
38,22462.996616015967,3802520.015138603,1298.5653278317038,阿房宫南,1730.7834045212117,西三环科技西路口
39,22462.996616015967,3803020.015138603,802.1464495081648,阿房宫南,1878.407994558476,西三环科技西路口
40,22462.996616015967,3803520.015138603,317.1843978988387,阿房宫南,2027.7884995066886,西三环纬一路口
41,22462.996616015967,3804020.015138603,240.36005924933318,阿房宫南,2071.0719418071194,红光公园
42,22462.996616015967,3804520.015138603,574.3528232046197,阿房宫南,1819.7609071346662,红光公园
43,22462.996616015967,3805020.015138603,1047.6141332212842,阿房宫南,1683.3658337184033,红光公园
44,22462.996616015967,3807020.015138603,1541.2857862847081,三桥,585.1498862713983,公交站_1440
45,22462.996616015967,3807520.015138603,1223.6968085438061,三桥,256.47888375656174,公交站_1440
46,22462.996616015967,3808020.015138603,1057.9725343681296,三桥,187.5583413376435,西部车城
47,22462.996616015967,3808520.015138603,998.1774794446221,后卫寨,353.4645215805432,西部车城
48,22462.996616015967,3809020.015138603,655.6718515338933,后卫寨,189.63443308452108,北沙口村南
49,22462.996616015967,3809520.015138603,602.8705278228061,后卫寨,599.976994576222,北沙口村南
50,22462.996616015967,3810020.015138603,892.7486598930373,后卫寨,1088.1100908594424,北沙口村南
51,22462.996616015967,3810520.015138603,1315.502742742971,后卫寨,1583.6649726629594,北沙口村南
52,22462.996616015967,3811020.015138603,1778.7902525558611,后卫寨,2081.347141024053,北沙口村南
53,22462.996616015967,3811520.015138603,2257.7958408614386,后卫寨,2430.2573709685685,西咸路太平路口
54,22462.996616015967,3812020.015138603,2744.301250853243,后卫寨,2748.6297876842086,西咸路太平路口
55,22462.996616015967,3812520.015138603,3110.597936097187,沣东自贸园,2808.9758515493936,公交站_1103
56,22462.996616015967,3813020.015138603,3501.8650406397614,沣东自贸园,2330.440351589407,公交站_1103
57,22462.996616015967,3813520.015138603,3917.945635873188,沣东自贸园,1863.2120464522218,公交站_1103
58,22462.996616015967,3814020.015138603,4351.728076116498,沣东自贸园,1413.8640352905613,公交站_1102
59,22462.996616015967,3814520.015138603,4798.413955804922,沣东自贸园,931.2863946346048,公交站_1102
60,22462.996616015967,3815020.015138603,5254.713668133239,沣东自贸园,485.3629439655773,公交站_1102
61,22462.996616015967,3815520.015138603,5718.3262391078315,沣东自贸园,322.2732162596567,公交站_1102
62,22462.996616015967,3816020.015138603,6187.608117816767,沣东自贸园,687.1265272580843,公交站_1102
63,22962.996616015964,3800020.015138603,745.4289961501347,省图高新馆,1981.80923434407,化龙三路科技二路口
64,22962.996616015964,3800520.015138603,592.6856478632411,天谷四路,1792.654295349694,化龙三路科技二路口
65,22962.996616015964,3801020.015138603,645.2916024250547,天谷四路,1661.8684664920072,西三环科技西路口
66,22962.996616015964,3801520.015138603,990.7200548780265,天谷四路,1363.008348069873,西三环科技西路口
67,22962.996616015964,3802020.015138603,807.4025929019973,西晁,1205.726633153565,西三环科技西路口
68,22962.996616015964,3802520.015138603,881.5390721961425,西晁,1244.894240842771,西三环科技西路口
69,22962.996616015964,3803020.015138603,878.3841507245135,阿房宫南,1392.1009433177649,西三环纬一路口
70,22962.996616015964,3803520.015138603,478.2527909546569,阿房宫南,1583.301503684916,西三环纬一路口
71,22962.996616015964,3804020.015138603,251.7060455329194,阿房宫南,1694.5380051276295,红光公园
72,22962.996616015964,3804520.015138603,575.3000434205491,阿房宫南,1376.0994956095283,红光公园
73,22962.996616015964,3805020.015138603,1048.1337445963427,阿房宫南,1189.8910003910735,红光公园
74,22962.996616015964,3805520.015138603,1538.2452838099057,阿房宫南,1190.5817838845867,皂河桥
75,22962.996616015964,3806020.015138603,2033.1779951015806,阿房宫南,1180.2582058647943,皂河桥
76,22962.996616015964,3806520.015138603,1718.5763297892279,三桥,1274.4069850998812,公交站_1440
77,22962.996616015964,3807020.015138603,1255.1400740749373,三桥,920.5944775420666,公交站_1440
78,22962.996616015964,3807520.015138603,835.0141374766447,三桥,755.5628501260052,公交站_1440
79,22962.996616015964,3808020.015138603,564.9076154760979,三桥,346.6642974595416,万象城
80,22962.996616015964,3808520.015138603,664.0727507283497,三桥,131.8928235362681,三桥西
81,22962.996616015964,3809020.015138603,1030.9532591232946,三桥,323.67655195208266,三桥西
82,22962.996616015964,3809520.015138603,1089.817896782738,后卫寨,659.8310119542439,北沙口村南
83,22962.996616015964,3810020.015138603,1273.2832931329208,后卫寨,1122.224638896326,北沙口村南
84,22962.996616015964,3810520.015138603,1598.3734360264125,后卫寨,1607.2956529386302,北沙口村南
85,22962.996616015964,3811020.015138603,1997.0841087491397,后卫寨,2099.3833598856704,北沙口村南
86,22962.996616015964,3811520.015138603,2433.4938327108644,后卫寨,2594.4983460342146,北沙口村南
