i_id,运营公司id,共享单车编号,经度,纬度,获取时间
35950458,4312,10200326,108.9475388450198,34.25311246172861,2025-08-08 00:00:55
35952863,4312,10200326,108.94701718348456,34.25326547041203,2025-08-08 00:03:03
35955265,4312,10200326,108.94743780990346,34.253525255341444,2025-08-08 00:05:11
35957669,4312,10200326,108.94667445247129,34.25365332811455,2025-08-08 00:07:20
35960002,4312,10200326,108.94656421191524,34.25318654172622,2025-08-08 00:09:27
35962671,4312,10200326,108.94761043197872,34.253432083359044,2025-08-08 00:11:35
35964854,4312,10200326,108.94764334126604,34.254621587747856,2025-08-08 00:13:44
35967481,4312,10200326,108.9482534869637,34.25464461357035,2025-08-08 00:15:51
35969581,4312,10200326,108.94731364458168,34.25435107479022,2025-08-08 00:17:59
35972293,4312,10200326,108.94706087335392,34.25365370059356,2025-08-08 00:20:08
35976161,4312,10200326,108.94627436806992,34.25312392026422,2025-08-08 00:22:16
35977102,4312,10200326,108.9469284354525,34.252605507363285,2025-08-08 00:24:23
35979505,4312,10200326,108.94760309403615,34.25193059958451,2025-08-08 00:26:31
35981814,4312,10200326,108.94635311728103,34.25156679816883,2025-08-08 00:28:40
35985697,4312,10200326,108.94683401867611,34.25170959377864,2025-08-08 00:30:48
35986821,4312,10200326,108.94645893977636,34.251951817431554,2025-08-08 00:32:55
35990706,4312,10200326,108.94646838610542,34.25162744422932,2025-08-08 00:35:04
35991630,4312,10200326,108.94700772343413,34.25074107800991,2025-08-08 00:37:12
35994034,4312,10200326,108.9457860778424,34.25029031762729,2025-08-08 00:39:20
35996441,4312,10200326,108.94546236491406,34.251079949737345,2025-08-08 00:41:28
35998579,4312,10200326,108.9454902136056,34.250469723416664,2025-08-08 00:43:36
36001252,4312,10200326,108.94593669297024,34.25189623246027,2025-08-08 00:45:44
36005160,4312,10200326,108.94549359281596,34.25154942111545,2025-08-08 00:47:52
36006064,4312,10200326,108.94627512102642,34.251644480765925,2025-08-08 00:50:00
36008468,4312,10200326,108.94667020855444,34.25188830918792,2025-08-08 00:52:08
36011065,4312,10200326,108.9469219837534,34.25277848859873,2025-08-08 00:54:17
36013164,4312,10200326,108.94567944048966,34.25241581222955,2025-08-08 00:56:25
36015870,4312,10200326,108.94667240292128,34.25193821566759,2025-08-08 00:58:32
36019737,4312,10200326,108.94739844584797,34.251704954314995,2025-08-08 01:00:41
36020677,4312,10200326,108.94763202026304,34.251575419646514,2025-08-08 01:02:50
36023077,4312,10200326,108.94709858151194,34.252170142430614,2025-08-08 01:04:58
36025485,4312,10200326,108.94711513853184,34.253091571085385,2025-08-08 01:07:05
36027872,4312,10200326,108.9476629253716,34.25202903469906,2025-08-08 01:09:14
36030296,4312,10200326,108.9469972939432,34.25229679851555,2025-08-08 01:11:22
36032689,4312,10200326,108.94721222549592,34.2522975207795,2025-08-08 01:13:29
36035299,4312,10200326,108.94746987878828,34.25204386365984,2025-08-08 01:15:38
36037474,4312,10200326,108.9471771945515,34.251888413916525,2025-08-08 01:17:46
36040104,4312,10200326,108.94799962740076,34.25186053881792,2025-08-08 01:19:54
36042269,4312,10200326,108.94831837408414,34.25199696650592,2025-08-08 01:22:02
36044912,4312,10200326,108.94829017373772,34.25178361220297,2025-08-08 01:24:10
36047315,4312,10200326,108.9487959953463,34.252305480403166,2025-08-08 01:26:19
36049721,4312,10200326,108.94972969504444,34.252163631148775,2025-08-08 01:28:26
36052039,4312,10200326,108.9487225596089,34.251530686143184,2025-08-08 01:30:35
36054531,4312,10200326,108.94779880388413,34.250969089973445,2025-08-08 01:32:43
36058424,4312,10200326,108.94810453399268,34.251124924880195,2025-08-08 01:34:50
36059534,4312,10200326,108.94860722898312,34.25123621347902,2025-08-08 01:36:59
36061687,4312,10200326,108.94875161693018,34.25216613165428,2025-08-08 01:39:33
36064345,4312,10200326,108.94953962382569,34.25238378977386,2025-08-08 01:41:15
36066410,4312,10200326,108.94925751793107,34.25279503374073,2025-08-08 01:43:23
36069154,4312,10200326,108.94848390579942,34.25332175838502,2025-08-08 01:45:32
36071559,4312,10200326,108.9487705505656,34.253016622861026,2025-08-08 01:47:40
36073964,4312,10200326,108.94930471509409,34.253677030831746,2025-08-08 01:49:47
36076055,4312,10200326,108.94836202833488,34.25338200181858,2025-08-08 01:51:56
36078772,4312,10200326,108.94896132991414,34.25336878624057,2025-08-08 01:54:04
36081369,4312,10200326,108.94873267792576,34.25325681332902,2025-08-08 01:56:11
36083773,4312,10200326,108.94784930835544,34.25306189429827,2025-08-08 01:58:20
36085864,4312,10200326,108.94842873889992,34.2536885469398,2025-08-08 02:00:28
36088581,4312,10200326,108.94898559744024,34.25418639161594,2025-08-08 02:02:37
36092436,4312,10200326,108.94919281304186,34.25395537293068,2025-08-08 02:04:45
36093387,4312,10200326,108.94997674760889,34.254824635159764,2025-08-08 02:06:52
36095792,4312,10200326,108.9500384278848,34.25496828114385,2025-08-08 02:09:01
36098197,4312,10200326,108.94939821874878,34.25489882691403,2025-08-08 02:11:09
36100526,4312,10200326,108.94959667514908,34.2555942145145,2025-08-08 02:13:17
36103198,4312,10200326,108.94880601162328,34.25630750396355,2025-08-08 02:15:26
36107103,4312,10200326,108.9487604339328,34.25537988490608,2025-08-08 02:17:34
36108008,4312,10200326,108.95044253602217,34.25534801675129,2025-08-08 02:19:41
36111911,4312,10200326,108.95129316231726,34.25557567304997,2025-08-08 02:21:50
36112818,4312,10200326,108.95193234028636,34.25437857766279,2025-08-08 02:23:58
36116438,4312,10200326,108.95304518990152,34.253613711480554,2025-08-08 02:26:06
